candidate,best_source_meta_loss,mae,rmse,mae_percent,rmse_percent,r2,point_count,eol_threshold,current_cycle,actual_eol_cycle_last_hitting,predicted_eol_cycle_last_hitting,actual_rul,predicted_rul,rul_error_actual_minus_predicted,cell,mode,adaptation_best_step,adaptation_best_support_loss,oracle_query_selection,learning_rate,loss_reduction,sampling_mode,adaptation_selection_value,support_validation_mae_fraction,support_validation_mae_percent,query_used_for_gradient,query_used_for_checkpoint_selection,deployment_safe,checkpoint_selection
p0p5_ilr0p01,0.0019429560285061597,0.0475204267755682,0.076381329547615,4.752042677556823,7.638132954761509,0.819117007633598,1479,0.7,100,878,1021,778,921,-143,CALCE_CX2_38.pkl,fast_3_steps,3,0.0059403302147984,False,0.01,sample_balanced,random,,,,,,,
p0p5_ilr0p01,0.0019429560285061597,0.0647293886764502,0.0877605164483507,6.472938867645027,8.77605164483507,0.7612069695539296,1479,0.7,100,878,1084,778,984,-206,CALCE_CX2_38.pkl,fast_5_steps,5,0.0058472999371588,False,0.01,sample_balanced,random,,,,,,,
p0p5_ilr0p01,0.0019429560285061597,0.0392072443712357,0.071909489467535,3.920724437123572,7.190948946753505,0.8396770419130867,1479,0.7,100,878,987,778,887,-109,CALCE_CX2_38.pkl,complete_paper_query_selected,1,,True,0.01,sample_balanced,random,0.0392072443712357,,,False,True,False,paper_query_early_stopping
p0p5_ilr0p025,0.003538660320919007,0.6111626591778687,0.6185668368589431,61.11626591778687,61.85668368589431,-47.49085242075425,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,fast_0_steps,0,0.1304342746734619,False,0.025,sample_balanced,random,,,,,,,
p0p5_ilr0p025,0.003538660320919007,0.0437222755284084,0.0499084749231773,4.372227552840849,4.990847492317739,0.6843286614174928,972,0.7,100,882,1052,782,952,-170,CALCE_CX2_37.pkl,fast_1_steps,1,0.0089340806007385,False,0.025,sample_balanced,random,,,,,,,
p0p5_ilr0p025,0.003538660320919007,0.0873407785738547,0.096788945895338,8.734077857385468,9.6788945895338,-0.1872387794879484,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,fast_3_steps,3,0.0076394821517169,False,0.025,sample_balanced,random,,,,,,,
p0p5_ilr0p025,0.003538660320919007,0.1156200909887422,0.1261786783255221,11.56200909887422,12.61786783255221,-1.0177088628344162,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,fast_5_steps,5,0.0071181617677211,False,0.025,sample_balanced,random,,,,,,,
p0p5_ilr0p025,0.003538660320919007,0.0437222755284084,0.0499084749231773,4.372227552840849,4.990847492317739,0.6843286614174928,972,0.7,100,882,1052,782,952,-170,CALCE_CX2_37.pkl,complete_paper_query_selected,1,,True,0.025,sample_balanced,random,0.0437222755284084,,,False,True,False,paper_query_early_stopping
p0p5_ilr0p025,0.003538660320919007,0.7146239962755269,0.7368903649539271,71.46239962755268,73.68903649539271,-15.835617981459798,1479,0.7,100,878,1579,778,1479,-701,CALCE_CX2_38.pkl,fast_0_steps,0,0.131815105676651,False,0.025,sample_balanced,random,,,,,,,
p0p5_ilr0p025,0.003538660320919007,0.0619288475691686,0.0919592220768737,6.192884756916869,9.195922207687378,0.7378113520819424,1479,0.7,100,878,1031,778,931,-153,CALCE_CX2_38.pkl,fast_1_steps,1,0.009093620814383,False,0.025,sample_balanced,random,,,,,,,
p0p5_ilr0p025,0.003538660320919007,0.1185493043025299,0.1408600211241096,11.854930430252992,14.086002112410965,0.3848248201931309,1479,0.7,100,878,1252,778,1152,-374,CALCE_CX2_38.pkl,fast_3_steps,3,0.0077683115378022,False,0.025,sample_balanced,random,,,,,,,
p0p5_ilr0p025,0.003538660320919007,0.1617538819535635,0.1869681003784894,16.175388195356348,18.696810037848945,-0.0838229366444383,1479,0.7,100,878,1450,778,1350,-572,CALCE_CX2_38.pkl,fast_5_steps,5,0.0072099170647561,False,0.025,sample_balanced,random,,,,,,,
p0p5_ilr0p025,0.003538660320919007,0.0619288475691686,0.0919592220768737,6.192884756916869,9.195922207687378,0.7378113520819424,1479,0.7,100,878,1031,778,931,-153,CALCE_CX2_38.pkl,complete_paper_query_selected,1,,True,0.025,sample_balanced,random,0.0619288475691686,,,False,True,False,paper_query_early_stopping
p0p5_ilr0p05,0.01232865322381258,0.1167313358065465,0.1376564138716086,11.673133580654657,13.765641387160867,-1.4014826673027034,972,0.7,100,882,212,782,112,670,CALCE_CX2_37.pkl,fast_0_steps,0,0.0111910551786422,False,0.05,sample_balanced,random,,,,,,,
p0p5_ilr0p05,0.01232865322381258,0.0705999598174402,0.0809006571980092,7.059995981744025,8.09006571980093,0.1705491570249392,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,fast_1_steps,1,0.0100943353027105,False,0.05,sample_balanced,random,,,,,,,
p0p5_ilr0p05,0.01232865322381258,0.0833776325922269,0.0980492375354986,8.337763259222694,9.804923753549865,-0.2183582128735988,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,fast_3_steps,3,0.0084781758487224,False,0.05,sample_balanced,random,,,,,,,
p0p5_ilr0p05,0.01232865322381258,0.0876832371561216,0.1032771047476567,8.768323715612162,10.32771047476567,-0.351744660004206,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,fast_5_steps,5,0.0080272834748029,False,0.05,sample_balanced,random,,,,,,,
p0p5_ilr0p05,0.01232865322381258,0.0705999598174402,0.0809006571980092,7.059995981744025,8.09006571980093,0.1705491570249392,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,complete_paper_query_selected,1,,True,0.05,sample_balanced,random,0.0705999598174402,,,False,True,False,paper_query_early_stopping
p0p5_ilr0p05,0.01232865322381258,0.1366333923989025,0.1690446390842553,13.663339239890254,16.904463908425534,0.1140155256257519,1479,0.7,100,878,212,778,112,666,CALCE_CX2_38.pkl,fast_0_steps,0,0.0109304701909422,False,0.05,sample_balanced,random,,,,,,,
p0p5_ilr0p05,0.01232865322381258,0.1362784979988443,0.1809785004033208,13.627849799884434,18.09785004033208,-0.0154938021094797,1479,0.7,100,878,1579,778,1479,-701,CALCE_CX2_38.pkl,fast_1_steps,1,0.0098279984667897,False,0.05,sample_balanced,random,,,,,,,
p0p5_ilr0p05,0.01232865322381258,0.1322651672760554,0.1711152628108284,13.226516727605544,17.111526281082842,0.0921777896865406,1479,0.7,100,878,1579,778,1479,-701,CALCE_CX2_38.pkl,fast_3_steps,3,0.0083648655563592,False,0.05,sample_balanced,random,,,,,,,
p0p5_ilr0p05,0.01232865322381258,0.1321989537147845,0.1701995925495373,13.219895371478447,17.019959254953733,0.1018676520207242,1479,0.7,100,878,298,778,198,580,CALCE_CX2_38.pkl,fast_5_steps,5,0.0079503562301397,False,0.05,sample_balanced,random,,,,,,,
p0p5_ilr0p05,0.01232865322381258,0.1321323224073144,0.16953223881076,13.213232240731443,16.953223881076003,0.1088970097367044,1479,0.7,100,878,266,778,166,612,CALCE_CX2_38.pkl,complete_paper_query_selected,4,,True,0.05,sample_balanced,random,0.1321323224073144,,,False,True,False,paper_query_early_stopping
p0p7_ilr0p005,0.0020690308418124916,0.0221157056843367,0.0292529160578393,2.2115705684336784,2.9252916057839395,0.8915511668803541,972,0.7,100,882,1010,782,910,-128,CALCE_CX2_37.pkl,fast_0_steps,0,0.0052548265084624,False,0.005,sample_balanced,random,,,,,,,
p0p7_ilr0p005,0.0020690308418124916,0.0261972693848676,0.0338946507557567,2.619726938486762,3.389465075575678,0.8544041888388019,972,0.7,100,882,1031,782,931,-149,CALCE_CX2_37.pkl,fast_1_steps,1,0.0050821104086935,False,0.005,sample_balanced,random,,,,,,,
p0p7_ilr0p005,0.0020690308418124916,0.0316253353909053,0.0392536773129414,3.16253353909054,3.925367731294149,0.8047247288022745,972,0.7,100,882,1055,782,955,-173,CALCE_CX2_37.pkl,fast_3_steps,3,0.0049317339435219,False,0.005,sample_balanced,random,,,,,,,
p0p7_ilr0p005,0.0020690308418124916,0.038290267356443,0.0454379302204485,3.829026735644304,4.54379302204485,0.7383482558112157,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,fast_5_steps,5,0.004810407757759,False,0.005,sample_balanced,random,,,,,,,
