history_length,run_dir,mae,rmse,mae_percent,rmse_percent,r2,point_count,eol_threshold,current_cycle,actual_eol_cycle_last_hitting,predicted_eol_cycle_last_hitting,actual_rul,predicted_rul,rul_error_actual_minus_predicted,cell,mode,adaptation_best_step,adaptation_best_support_loss,oracle_query_selection,learning_rate,loss_reduction,sampling_mode,adaptation_selection_value,support_validation_mae_fraction,support_validation_mae_percent,query_used_for_gradient,query_used_for_checkpoint_selection,deployment_safe,checkpoint_selection,mae_percent_paper,rmse_percent_paper,r2_paper,rul_error_actual_minus_predicted_paper,source,mae_percent_difference,rmse_percent_difference,r2_difference,rul_error_actual_minus_predicted_difference
100,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/20260813_214125_306691_all_L100_paper-rec_s42_c89dbcc12,0.0774598961808306,0.0961732965874145,7.745989618083067,9.617329658741454,-0.1721833798965133,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,complete_paper_query_selected,3,,True,0.05,sample_balanced,random,0.0774598961808306,,,False,True,False,paper_query_early_stopping,1.789,2.263,0.938,-113,Table 3,5.9569896180830675,7.354329658741454,-1.1101833798965133,-77
100,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/20260813_214125_306691_all_L100_paper-rec_s42_c89dbcc12,0.146225228899116,0.1900768673403521,14.6225228899116,19.007686734035207,-0.1201645851121826,1479,0.7,100,878,1579,778,1479,-701,CALCE_CX2_38.pkl,complete_paper_query_selected,1,,True,0.05,sample_balanced,random,0.146225228899116,,,False,True,False,paper_query_early_stopping,2.268,3.382,0.97,-19,Table 3,12.3545228899116,15.625686734035208,-1.0901645851121826,-682
