iteration,weighted_meta_loss,ema_source_meta_loss,alpha_entropy,effective_sources,mmd_objective,rbf_sigma,qp_solver_status,learning_rate,elapsed_seconds,eta_seconds,iteration_seconds,cuda_allocated_bytes,cuda_reserved_bytes
1,0.22022190690040588,0.22022190690040588,0.7652882933616638,1.6283714771270752,0.00022552932710373508,0.20264277962815969,OSQP:optimal,0.001,3.2286718010436743,7422.716470599407,3.2283441389445215,67888640,591396864
2,0.20327888429164886,0.21988304644823076,0.7664395570755005,1.6283903121948242,0.00022699003476045476,0.20377575863444872,OSQP:optimal,0.001,6.206435127998702,7131.193962070509,2.9745762740494683,67944960,591396864
3,0.18638268113136292,0.21921303914189338,0.7678188681602478,1.6324785947799683,0.00022889045777674255,0.20419447756262815,OSQP:optimal,0.001,9.396072785020806,7194.259729064263,3.1642118779709563,67947520,591396864
4,0.16941094398498535,0.2182169972387552,0.7740944027900696,1.6441919803619385,0.00023045007019395491,0.20399485000776624,OSQP:optimal,0.001,12.461955617065541,7153.162524195621,3.0333149710204452,67949568,591396864
5,0.1533651053905487,0.21691995940179107,0.7789249420166016,1.653700828552246,0.00023091123110052791,0.2034507910637187,OSQP:optimal,0.001,15.556063389987685,7140.233096004347,3.0647637359797955,67946496,591396864
6,0.13738825917243958,0.21532932539720404,0.7829413414001465,1.6621860265731812,0.00023063992437166725,0.20246504078630723,OSQP:optimal,0.001,18.7673883800162,7175.398157292861,3.1795570380054414,67945472,591396864
7,0.12158898264169693,0.2134545185420939,0.7859578132629395,1.6688226461410522,0.00023044189126442127,0.20088131014247163,OSQP:optimal,0.001,21.857117463019677,7159.767191814874,3.0593592069344595,67944448,591396864
8,0.10618427395820618,0.21130911365041613,0.787563145160675,1.6724283695220947,0.00023133866579583273,0.1984328852379179,OSQP:optimal,0.001,24.952006947016343,7148.749990320182,3.0575390900485218,67947520,591396864
9,0.09108151495456696,0.20890456167649912,0.7876731753349304,1.6727893352508545,0.00023375391844593363,0.19518240276065538,OSQP:optimal,0.001,28.184328748029657,7174.477462415105,3.208070562919602,67947520,591396864
10,0.07738745957612991,0.20627421963449172,0.7869640588760376,1.6720513105392456,0.00023556616656128515,0.19170929926051994,OSQP:optimal,0.001,31.2891065729782,7165.2054052120075,3.079731020028703,67946496,591396864
