iteration,gradient_norm
1,1.0511385202407837
2,1.0221248865127563
3,0.9874075651168823
4,0.9529930949211121
5,0.9143674969673157
6,0.8741229176521301
7,0.8270302414894104
8,0.777888834476471
9,0.7193767428398132
10,0.6570929288864136
11,0.5853578448295593
12,0.5026615858078003
13,0.41327008605003357
14,0.31521719694137573
15,0.20380806922912598
16,0.08777794241905212
17,0.047967616468667984
18,0.14673830568790436
19,0.2325812131166458
20,0.2838590145111084
21,0.3261043429374695
22,0.3353690207004547
23,0.32332131266593933
24,0.3040688633918762
25,0.2848969101905823
26,0.2477405071258545
27,0.21536517143249512
28,0.16906064748764038
29,0.13121001422405243
30,0.08296582847833633
31,0.04768943414092064
32,0.033029090613126755
33,0.043938226997852325
34,0.06743268668651581
35,0.08092091232538223
36,0.10219729691743851
37,0.12020175158977509
38,0.12731096148490906
39,0.12791045010089874
40,0.12398573756217957
41,0.12019214779138565
42,0.11805625259876251
43,0.10252252966165543
44,0.09224201738834381
45,0.07744317501783371
46,0.05694974958896637
47,0.046019960194826126
48,0.03619720786809921
49,0.03306117281317711
50,0.03545907139778137
51,0.047495048493146896
52,0.05132775381207466
53,0.06331359595060349
54,0.073520727455616
55,0.06416980177164078
56,0.07251667231321335
57,0.07188991457223892
58,0.051898520439863205
59,0.05609254166483879
60,0.04815329983830452
61,0.04166129603981972
62,0.039452116936445236
63,0.03515355661511421
64,0.032031476497650146
65,0.03349502012133598
66,0.03539569303393364
67,0.035062503069639206
68,0.033525507897138596
69,0.03534788265824318
70,0.034872084856033325
71,0.036495696753263474
72,0.04177176579833031
73,0.04115866497159004
74,0.04517342522740364
75,0.04419245198369026
76,0.049265917390584946
77,0.04556488245725632
78,0.04607953131198883
79,0.045510437339544296
80,0.046347472816705704
81,0.03947589546442032
82,0.039452649652957916
83,0.03959924355149269
84,0.03969593718647957
85,0.03903992101550102
86,0.04156947880983353
87,0.042513128370046616
88,0.04499543830752373
89,0.04381680116057396
90,0.052279647439718246
91,0.05588824674487114
92,0.04981143772602081
93,0.05234260484576225
94,0.04466235637664795
95,0.05132183060050011
96,0.04315371811389923
97,0.042948562651872635
98,0.044303979724645615
99,0.04764534905552864
100,0.04652376100420952
101,0.043617576360702515
102,0.06636787950992584
103,0.040816254913806915
104,0.05174746364355087
105,0.036794811487197876
106,0.04455164447426796
107,0.04324331507086754
108,0.035158704966306686
109,0.09037937223911285
110,0.09211216866970062
111,0.029903223738074303
112,0.04349313676357269
113,0.07429540902376175
114,0.054291341453790665
115,0.024569135159254074
116,0.029190201312303543
117,0.23117074370384216
118,0.10621320456266403
119,0.14471279084682465
120,0.053119853138923645
121,0.11530808359384537
122,0.10105864703655243
123,0.04986590892076492
124,0.05225096270442009
125,0.036771390587091446
126,0.022840768098831177
127,0.027067184448242188
128,0.07115364074707031
129,0.025101205334067345
130,0.024041367694735527
131,0.021201837807893753
132,0.04936903715133667
133,0.020048359408974648
134,0.017113184556365013
135,0.07257695496082306
136,0.03471643105149269
137,0.033324602991342545
138,0.01848682202398777
139,0.06448994576931
140,0.11540685594081879
141,0.0484575554728508
142,0.013172733597457409
143,0.09335027635097504
144,0.09290909767150879
145,0.06245731562376022
146,0.1577480137348175
147,0.0160252396017313
148,0.0494212843477726
149,0.022725338116288185
150,0.10838907957077026
151,0.042745571583509445
152,0.04226863384246826
153,0.03392552211880684
154,0.02158728986978531
155,0.06333787739276886
156,0.07895595580339432
157,0.060030702501535416
158,0.011069153435528278
159,0.0210732351988554
160,0.020663833245635033
161,0.03459073230624199
162,0.016441194340586662
163,0.024684036150574684
164,0.04917293041944504
165,0.15240401029586792
166,0.0319354422390461
167,0.03971865028142929
168,0.06938856095075607
169,0.019085679203271866
170,0.06709674745798111
171,0.03973908722400665
172,0.07227306067943573
173,0.02458377182483673
174,0.022383205592632294
175,0.035026781260967255
176,0.09771402925252914
177,0.012531735002994537
178,0.006180823314934969
179,0.08777385950088501
180,0.02525187097489834
181,0.027365488931536674
182,0.008326882496476173
183,0.020754750818014145
184,0.03116436116397381
185,0.03681953251361847
186,0.014509355649352074
187,0.01394188217818737
188,0.03568456694483757
189,0.05708899348974228
190,0.052674341946840286
191,0.005936997011303902
192,0.08825350552797318
193,0.11184166371822357
194,0.034822192043066025
195,0.08218220621347427
196,0.07703782618045807
197,0.009071831591427326
198,0.07795805484056473
199,0.11993500590324402
200,0.008507000282406807
201,0.028474027290940285
202,0.030948523432016373
203,0.0873943343758583
204,0.04168182238936424
205,0.005943112075328827
206,0.11771811544895172
207,0.075229212641716
208,0.04224303364753723
209,0.08673639595508575
210,0.1124088391661644
211,0.0980219766497612
212,0.06319217383861542
213,0.1230529397726059
214,0.06631962954998016
215,0.01826690137386322
216,0.011902931146323681
217,0.050064101815223694
218,0.11322909593582153
219,0.046146634966135025
220,0.010829413309693336
221,0.05977842956781387
222,0.04738551005721092
223,0.010733405128121376
224,0.027016710489988327
225,0.14613783359527588
226,0.05486448481678963
227,0.04455136880278587
228,0.10926511883735657
229,0.025991547852754593
230,0.029765786603093147
231,0.0040670521557331085
232,0.039422567933797836
233,0.06788595765829086
234,0.0487712137401104
235,0.07596287131309509
236,0.024609878659248352
237,0.1319608986377716
238,0.08514267206192017
239,0.003895358182489872
240,0.08641673624515533
241,0.07887279987335205
242,0.05093744397163391
243,0.02491416223347187
244,0.08647939562797546
245,0.1191655695438385
246,0.036787088960409164
247,0.010292645543813705
248,0.044777873903512955
249,0.0837172120809555
250,0.104853555560112
251,0.04796725511550903
252,0.07672156393527985
253,0.09917104244232178
254,0.020726751536130905
255,0.03279722109436989
256,0.04124750941991806
257,0.06121008098125458
258,0.0314481221139431
259,0.0030092450324445963
260,0.07253199815750122
261,0.014306755736470222
262,0.073664590716362
263,0.011314182542264462
264,0.03086722083389759
265,0.07317793369293213
266,0.03028838522732258
267,0.022119665518403053
268,0.014640606008470058
269,0.02601907216012478
270,0.07601406425237656
271,0.0025502112694084644
272,0.012142849154770374
273,0.022501152008771896
274,0.047873109579086304
275,0.0013913136208429933
276,0.03944673761725426
277,0.07411209493875504
278,0.019016966223716736
279,0.028589600697159767
280,0.028337927535176277
281,0.08753883093595505
282,0.0446881540119648
283,0.07678297907114029
284,0.05280020460486412
285,0.03342984616756439
286,0.023590093478560448
287,0.07584676146507263
288,0.010289100930094719
289,0.040562745183706284
290,0.10288944095373154
291,0.001522878184914589
292,0.01729658432304859
293,0.00754039129242301
294,0.026982899755239487
295,0.035991642624139786
296,0.034786295145750046
297,0.004036551807075739
298,0.01805501990020275
299,0.07931344211101532
300,0.00532855000346899
301,0.035501208156347275
302,0.07730638980865479
303,0.03015301562845707
304,0.01719234697520733
305,0.07065573334693909
306,0.001916883047670126
307,0.048710424453020096
