iteration,source,support_loss,query_loss,alpha
1,CALCE_CX2_16.pkl,0.6841853260993958,0.3176383972167969,0.020030731335282326
1,CALCE_CX2_33.pkl,0.7054476141929626,0.26003405451774597,0.0011749806581065059
1,CALCE_CX2_34.pkl,0.7050603628158569,0.23418179154396057,0.12924115359783173
1,CALCE_CX2_35.pkl,0.750388503074646,0.2826041579246521,0.07911065220832825
1,CALCE_CX2_36.pkl,0.6997674703598022,0.21777808666229248,0.0018445904133841395
1,CALCE_CX2_38.pkl,0.7073166370391846,0.20885978639125824,0.7685979008674622
2,CALCE_CX2_16.pkl,0.6509913802146912,0.29585695266723633,0.020308049395680428
2,CALCE_CX2_33.pkl,0.6721892356872559,0.2404019981622696,0.0026029329746961594
2,CALCE_CX2_34.pkl,0.6694667935371399,0.21644076704978943,0.1287904530763626
2,CALCE_CX2_35.pkl,0.7154214978218079,0.26158517599105835,0.07888428121805191
2,CALCE_CX2_36.pkl,0.6666136980056763,0.2000095397233963,0.0007310084765776992
2,CALCE_CX2_38.pkl,0.6746063828468323,0.19252167642116547,0.7686832547187805
3,CALCE_CX2_16.pkl,0.6184273362159729,0.2736510932445526,0.020604398101568222
3,CALCE_CX2_33.pkl,0.6390833854675293,0.22130391001701355,0.0034943644423037767
3,CALCE_CX2_34.pkl,0.637807309627533,0.19812078773975372,0.1294611692428589
3,CALCE_CX2_35.pkl,0.6821416616439819,0.2413908988237381,0.07888142764568329
3,CALCE_CX2_36.pkl,0.6348668932914734,0.18230144679546356,0.0
3,CALCE_CX2_38.pkl,0.6430807709693909,0.17624810338020325,0.7675586342811584
4,CALCE_CX2_16.pkl,0.5863321423530579,0.25108960270881653,0.020880071446299553
4,CALCE_CX2_33.pkl,0.6063304543495178,0.2016146034002304,0.0033751309383660555
4,CALCE_CX2_34.pkl,0.605494499206543,0.179402694106102,0.13219782710075378
4,CALCE_CX2_35.pkl,0.6471701860427856,0.2209506630897522,0.07936134189367294
4,CALCE_CX2_36.pkl,0.6010870337486267,0.165204718708992,0.0
4,CALCE_CX2_38.pkl,0.6097063422203064,0.15995605289936066,0.7641856074333191
5,CALCE_CX2_16.pkl,0.5535838603973389,0.229265958070755,0.02113565430045128
5,CALCE_CX2_33.pkl,0.5727270245552063,0.18326565623283386,0.003202349878847599
5,CALCE_CX2_34.pkl,0.5724124312400818,0.16164883971214294,0.1343812346458435
5,CALCE_CX2_35.pkl,0.6126503348350525,0.20035715401172638,0.07982345670461655
5,CALCE_CX2_36.pkl,0.564696729183197,0.14919978380203247,0.0
5,CALCE_CX2_38.pkl,0.5761411786079407,0.14474451541900635,0.7614573240280151
6,CALCE_CX2_16.pkl,0.5215312838554382,0.207417830824852,0.021382946521043777
6,CALCE_CX2_33.pkl,0.5400823950767517,0.16433635354042053,0.002963051898404956
6,CALCE_CX2_34.pkl,0.5383508801460266,0.14479191601276398,0.13628804683685303
6,CALCE_CX2_35.pkl,0.5780935883522034,0.18061460554599762,0.08033845573663712
6,CALCE_CX2_36.pkl,0.5352364778518677,0.13211512565612793,0.0
6,CALCE_CX2_38.pkl,0.543536365032196,0.12940560281276703,0.7590274810791016
7,CALCE_CX2_16.pkl,0.48956409096717834,0.18569862842559814,0.021633703261613846
7,CALCE_CX2_33.pkl,0.5066775679588318,0.14475885033607483,0.002721173921599984
7,CALCE_CX2_34.pkl,0.5064850449562073,0.12746821343898773,0.13767437636852264
7,CALCE_CX2_35.pkl,0.5447102785110474,0.16039425134658813,0.08083031326532364
7,CALCE_CX2_36.pkl,0.5007661581039429,0.11621721088886261,0.0
7,CALCE_CX2_38.pkl,0.5093165040016174,0.11446211487054825,0.7571404576301575
8,CALCE_CX2_16.pkl,0.4563499987125397,0.164972722530365,0.021894680336117744
8,CALCE_CX2_33.pkl,0.47413745522499084,0.1269349306821823,0.002521676477044821
8,CALCE_CX2_34.pkl,0.4722667336463928,0.11107276380062103,0.13822615146636963
8,CALCE_CX2_35.pkl,0.5105694532394409,0.1409231573343277,0.08121988922357559
8,CALCE_CX2_36.pkl,0.46896839141845703,0.09978535771369934,0.0
8,CALCE_CX2_38.pkl,0.47754839062690735,0.09978770464658737,0.7561376094818115
9,CALCE_CX2_16.pkl,0.42328599095344543,0.14239223301410675,0.02216464839875698
9,CALCE_CX2_33.pkl,0.44051554799079895,0.10909061133861542,0.0023659325670450926
9,CALCE_CX2_34.pkl,0.4394112825393677,0.09514932334423065,0.13792648911476135
9,CALCE_CX2_35.pkl,0.47453832626342773,0.12151378393173218,0.08147025108337402
9,CALCE_CX2_36.pkl,0.4354964792728424,0.08503146469593048,0.0
9,CALCE_CX2_38.pkl,0.44295910000801086,0.08549968153238297,0.7560727000236511
10,CALCE_CX2_16.pkl,0.39111748337745667,0.12216468900442123,0.022420845925807953
