schedule,cycle_step,beta,observed_through_cycle,num_cells,future_rmse_mean,future_rmse_std,future_rmse_median,current_soh_abs_error_mean,nll_mean,coverage_95_mean,interval_width_95_mean,num_context_points_mean,num_available_context_points_mean,num_target_points_mean
step10,10,0.0,100,34,0.08655817048770376,0.047556624110356105,0.0879875414238469,0.001854111575605937,-1.7900111978702022,0.7411665176724604,0.17968911387361478,100.0,100.0,731.2647058823529
step10,10,0.25,100,34,0.060516698510618534,0.029259478202632864,0.05232583689308262,0.001403545160830319,-2.2771150047124773,0.8414504871280896,0.1299547837524982,100.0,100.0,731.2647058823529
step10,10,0.5,100,34,0.06114471234996002,0.029440546701821144,0.05383202159825739,0.001410148209093775,-2.268267494840501,0.8368821667920754,0.13044067977236087,100.0,100.0,731.2647058823529
step10,10,0.75,100,34,0.06334287231056124,0.03064566821228019,0.0579985278462611,0.0014305282550674276,-2.2146419593255318,0.8162009745364875,0.13357952016174798,100.0,100.0,731.2647058823529
step10,10,1.0,100,34,0.06751440152042801,0.033419847544481636,0.06049314530072451,0.00148317473355996,-2.1082075414651094,0.7827196457130099,0.1406347362114341,100.0,100.0,731.2647058823529
step10,10,0.0,110,34,0.08467017115393724,0.0469257717161678,0.08455693311127868,0.001610266962864387,-1.8774082148610591,0.7732162444639549,0.17942509170383159,110.0,110.0,721.2647058823529
step10,10,0.25,110,34,0.0593186498836552,0.029141729336488408,0.05243338879362078,0.0011727624983978594,-2.3096769499615726,0.8493214059356403,0.13219902950061832,110.0,110.0,721.2647058823529
step10,10,0.5,110,34,0.06007550818732138,0.02939789055064978,0.053165717729114756,0.0011787671290832788,-2.30449663001203,0.8444036962678169,0.13331629102566503,110.0,110.0,721.2647058823529
step10,10,0.75,110,34,0.06282906496640471,0.030765396950938877,0.05562646620680364,0.0012170616581046196,-2.245405478295518,0.8272167900269699,0.1379810650193595,110.0,110.0,721.2647058823529
step10,10,1.0,110,34,0.06829314114299036,0.033897822877275816,0.061743657019831547,0.0012877426032223743,-2.127906653876149,0.7952702758593341,0.14717863588863042,110.0,110.0,721.2647058823529
step10,10,0.0,120,34,0.08070124612539069,0.04587164142792202,0.08138382934914842,0.0013434118235401415,-2.0488771844790574,0.833099462796347,0.17735385723058328,120.0,120.0,711.2647058823529
step10,10,0.25,120,34,0.05471082712184223,0.02718997008623124,0.0475661790708813,0.0008914395776773933,-2.5380753707511916,0.8969736432810039,0.12518268667357527,120.0,120.0,711.2647058823529
step10,10,0.5,120,34,0.055453002460460483,0.027441291140324602,0.04884219692958901,0.0008970545538201091,-2.5280665325528524,0.8948870876389206,0.12600393806103535,120.0,120.0,711.2647058823529
step10,10,0.75,120,34,0.05770339649956028,0.028541627185056463,0.05129507304822169,0.0009216618669401358,-2.476209168927423,0.8849537120433049,0.12989143161016456,120.0,120.0,711.2647058823529
step10,10,1.0,120,34,0.06201998696752867,0.030942149085743963,0.05451084602369126,0.0009715391062440773,-2.3669793593997643,0.863148847986459,0.13817744260476023,120.0,120.0,711.2647058823529
step10,10,0.0,130,34,0.077591310363026,0.04417883819986093,0.07898684805644268,0.001086970022441889,-2.15478892550763,0.8546884717057812,0.17537458455737048,128.0,130.0,701.2647058823529
step10,10,0.25,130,34,0.052334582213948204,0.026125965339553348,0.046195277029836335,0.000654055959526236,-2.6437641570863635,0.915048620433911,0.12291954523508268,128.0,130.0,701.2647058823529
step10,10,0.5,130,34,0.05329331191245048,0.026421599628315966,0.04694737098375486,0.0006711517011500176,-2.620502277075241,0.9094010809455091,0.12428391048203112,128.0,130.0,701.2647058823529
step10,10,0.75,130,34,0.05578773162448531,0.02732016715904117,0.04971285278451508,0.0007080975459467118,-2.5517164997363806,0.8954612522731717,0.12906012511098816,128.0,130.0,701.2647058823529
step10,10,1.0,130,34,0.060389547944173456,0.029512870580114998,0.055916095403754716,0.0007666908732322231,-2.431338310761853,0.8719200420099458,0.13840408961054135,128.0,130.0,701.2647058823529
step10,10,0.0,140,34,0.0773466118519955,0.04462031513024182,0.0777262471790402,0.000881479918489992,-2.1802537848243295,0.8559195315632318,0.17578631523988456,128.0,140.0,691.2647058823529
step10,10,0.25,140,34,0.05380361767252837,0.028133072401417127,0.04856765288293696,0.0005316733499172689,-2.630122231247054,0.9041369908896038,0.12492600164511944,128.0,140.0,691.2647058823529
step10,10,0.5,140,34,0.05490624078515059,0.028628214842196964,0.05006902401083073,0.0005579057156130352,-2.6079249171551244,0.9019822810692953,0.12733054377579056,128.0,140.0,691.2647058823529
step10,10,0.75,140,34,0.057792979086254824,0.03009275264269856,0.052822873998713445,0.0005908936302955095,-2.5346277771182972,0.890369355530423,0.13348569845334735,128.0,140.0,691.2647058823529
step10,10,1.0,140,34,0.06301312362701733,0.033204011563383054,0.05635671831284669,0.000622965830507047,-2.409575680434525,0.8670564449425529,0.14396459689817134,128.0,140.0,691.2647058823529
step10,10,0.0,150,34,0.0731195584256906,0.04375072925466142,0.06811961311817162,0.0007317259444902965,-2.303466603603824,0.8848779644361165,0.17284422330111307,128.0,150.0,681.2647058823529
step10,10,0.25,150,34,0.04948776693931915,0.028246949021955518,0.044476467011823576,0.0004322536934471429,-2.7672689144021767,0.9153392963416734,0.11761057342558631,128.0,150.0,681.2647058823529
step10,10,0.5,150,34,0.05064481117747051,0.02841835829451229,0.04687214131483051,0.00045042197390340714,-2.7467589944215036,0.9142148617155765,0.11982122095756098,128.0,150.0,681.2647058823529
step10,10,0.75,150,34,0.053342125630847136,0.02918762697109793,0.04764881751083776,0.00047475834700480394,-2.681035927426945,0.9090509338443485,0.12562609839822317,128.0,150.0,681.2647058823529
step10,10,1.0,150,34,0.05795548048476349,0.0313697491108437,0.051105035048641737,0.0004806807661689792,-2.565371562169626,0.8964265152738042,0.1358351850531299,128.0,150.0,681.2647058823529
step10,10,0.0,160,34,0.06999676704164809,0.04165299343510116,0.06764300042886204,0.000652688124094884,-2.3905269852249433,0.9005358386021617,0.17014418094834402,128.0,160.0,671.2647058823529
step10,10,0.25,160,34,0.04754625635984001,0.026830863529311112,0.042073109385279805,0.00045179106268931,-2.819471578054565,0.9178792072806042,0.11442756789454933,128.0,160.0,671.2647058823529
step10,10,0.5,160,34,0.04876686290930942,0.027132995681461113,0.04486363183288883,0.0004872299328989223,-2.7980234334524594,0.9160176196847966,0.11705136211905547,128.0,160.0,671.2647058823529
step10,10,0.75,160,34,0.05130427548696869,0.027866187432646197,0.04595557103880597,0.0005115382135098415,-2.7331316945771498,0.91270749629369,0.12309934047013901,128.0,160.0,671.2647058823529
step10,10,1.0,160,34,0.055417991040399406,0.02979531657366266,0.0505806879821165,0.0004835312513908504,-2.6244468396790834,0.9009443877435909,0.1333513202620673,128.0,160.0,671.2647058823529
step10,10,0.0,170,34,0.06734393325134955,0.0423045308329238,0.06000871200980464,0.0006069604800188118,-2.4464109051091922,0.9078571133561607,0.16934568708132192,128.0,170.0,661.2647058823529
step10,10,0.25,170,34,0.04652116098037326,0.02860063587047894,0.04129145350434586,0.0004601629269836329,-2.868359714812657,0.9255522689548218,0.11677620691795018,128.0,170.0,661.2647058823529
step10,10,0.5,170,34,0.04782601465089363,0.029268414115619854,0.04194326551003556,0.0005063886618473626,-2.8349422124972445,0.9255055263058268,0.12051312150141003,128.0,170.0,661.2647058823529
step10,10,0.75,170,34,0.050665170830804254,0.030654442416639525,0.04295980345852465,0.0005261040462094459,-2.7563700648629164,0.92269029351897,0.12808851356407308,128.0,170.0,661.2647058823529
step10,10,1.0,170,34,0.055284031285420164,0.03328871589912514,0.04827396947176303,0.00048217185898609,-2.6411318410538094,0.9121758970545876,0.13921538891108856,128.0,170.0,661.2647058823529
step10,10,0.0,180,34,0.06417393851822904,0.04238828089834267,0.05396194649093421,0.0006067465068173801,-2.525777373802301,0.9228711127428155,0.16737444057729767,128.0,180.0,651.2647058823529
step10,10,0.25,180,34,0.04233556835588211,0.028117760960251138,0.03617390651476275,0.0004886331341934567,-2.9596733538700715,0.9349241915680686,0.11267391866247795,128.0,180.0,651.2647058823529
step10,10,0.5,180,34,0.04342672949284989,0.028194407407279007,0.03585531802206058,0.0005261829950242713,-2.9238168256291273,0.935389082254667,0.11672089558325954,128.0,180.0,651.2647058823529
step10,10,0.75,180,34,0.045933230542584046,0.028794652016306262,0.036926129098242624,0.0005370486243265618,-2.847411369840168,0.932704141861662,0.12465173724335077,128.0,180.0,651.2647058823529
step10,10,1.0,180,34,0.05024843321950361,0.030991190935784518,0.04438947413230568,0.0004797110601554561,-2.734377118517428,0.9282935315660064,0.13658576045975562,128.0,180.0,651.2647058823529
step10,10,0.0,190,34,0.06239324023726723,0.03945063452592072,0.05112653287183733,0.000539117639658229,-2.519621555909444,0.9060103052288682,0.16429099324037005,128.0,190.0,641.2647058823529
step10,10,0.25,190,34,0.042217951839905864,0.027936345322002256,0.039990149310353114,0.0005155444665688605,-2.907821923692686,0.9080458271216134,0.11094457326516395,128.0,190.0,641.2647058823529
step10,10,0.5,190,34,0.04335399379251725,0.027841670464275527,0.04136820445097328,0.0005565217303286858,-2.878752094807012,0.9113022050090022,0.11551456181565711,128.0,190.0,641.2647058823529
step10,10,0.75,190,34,0.045898376483307926,0.02817919232487016,0.04297507083424763,0.0005574279641619064,-2.8070838285389175,0.9123276617553918,0.12406661610375733,128.0,190.0,641.2647058823529
step10,10,1.0,190,34,0.05003424007085834,0.02989812102364843,0.04747304064182267,0.0004787095640460439,-2.697738957144098,0.9089235963040674,0.13635635206479052,128.0,190.0,641.2647058823529
step10,10,0.0,200,34,0.0602815649985118,0.03883254079763773,0.051339125264098895,0.0005192496710616468,-2.571841449335595,0.9059035423613061,0.16128839084459032,128.0,200.0,631.2647058823529
step10,10,0.25,200,34,0.04400508008149281,0.028796473256204838,0.041036669950130916,0.0005438982196320545,-2.914965684008203,0.8987808900872013,0.10664938434397876,128.0,200.0,631.2647058823529
step10,10,0.5,200,34,0.044975251495268376,0.028924296400452736,0.041193303955008226,0.000567171265351496,-2.910884091145959,0.9070836778713164,0.11146241766213527,128.0,200.0,631.2647058823529
step10,10,0.75,200,34,0.04684679651489437,0.02967170825136175,0.04295530159789123,0.0005464573136212958,-2.85835624564662,0.9098587463125941,0.11997486100804962,128.0,200.0,631.2647058823529
step10,10,1.0,200,34,0.04966163771226676,0.031612305108760855,0.04635930980040155,0.000462084264549699,-2.759961226318377,0.9067093232728072,0.13175045581291653,128.0,200.0,631.2647058823529
step10,10,0.0,210,34,0.058009367485702575,0.03940714607091873,0.05117139532766832,0.0004948789751219824,-2.5813459998309685,0.903569523439813,0.15995043573764733,128.0,210.0,621.2647058823529
step10,10,0.25,210,34,0.041210801981053494,0.028625674813934025,0.035299118704683594,0.000607070001636652,-2.914175812459429,0.8995150708214499,0.10646383112553073,128.0,210.0,621.2647058823529
step10,10,0.5,210,34,0.042003267355240785,0.028586230115186302,0.03491239772338714,0.0006258735878529875,-2.902608166156992,0.9057590154221161,0.11217678007607189,128.0,210.0,621.2647058823529
step10,10,0.75,210,34,0.04398111703864513,0.029493156355551803,0.03836644034434358,0.0005947419933734879,-2.8425515141995015,0.9080353102771693,0.1217233850903081,128.0,210.0,621.2647058823529
step10,10,1.0,210,34,0.04745456770924364,0.031876509597059816,0.04350315588506608,0.0005019663160275252,-2.7464897809349695,0.9035166943630013,0.13355595059778,128.0,210.0,621.2647058823529
step10,10,0.0,220,34,0.055314469299467074,0.03650161910731481,0.051567803059158646,0.0005575901230629879,-2.6054860709481966,0.8919326034939178,0.1548269912057407,128.0,220.0,611.2647058823529
step10,10,0.25,220,34,0.03861103556150016,0.02770997507878798,0.02798672051074847,0.0005896402540307368,-2.961591927937142,0.8920610634059285,0.10031365492750294,128.0,220.0,611.2647058823529
step10,10,0.5,220,34,0.0387185152418857,0.0268029553383174,0.030002729592708458,0.0006225048841325131,-2.943846924945347,0.8957429211395177,0.10612834838043948,128.0,220.0,611.2647058823529
step10,10,0.75,220,34,0.040044382316618096,0.026125273955744058,0.03540123010037257,0.0006130421376390064,-2.8806947273841126,0.8966011989571202,0.11601756932341616,128.0,220.0,611.2647058823529
step10,10,1.0,220,34,0.043524457336855386,0.027341635117950965,0.044634985433372965,0.0005323889176990488,-2.777049315084627,0.8933543582457179,0.12878395138961918,128.0,220.0,611.2647058823529
step10,10,0.0,230,34,0.05551484242257293,0.035369482575740394,0.04916223487631667,0.00056324151703236,-2.5611827473042905,0.8852018288400292,0.15383384045722392,128.0,230.0,601.2647058823529
step10,10,0.25,230,34,0.0398342983882921,0.027430845913947042,0.032491706293922645,0.0006240339347489394,-2.9065641514811342,0.8842002762151168,0.09884305001942911,128.0,230.0,601.2647058823529
step10,10,0.5,230,34,0.04014757289847816,0.026161984350777778,0.03537175491052198,0.0006336783504067888,-2.8907761300045114,0.8880610248737982,0.10500505545565454,128.0,230.0,601.2647058823529
step10,10,0.75,230,34,0.041383678945123605,0.025358006772343785,0.035972883017126214,0.0006117647146285703,-2.832641233638323,0.8891609529741492,0.11507934626580957,128.0,230.0,601.2647058823529
step10,10,1.0,230,34,0.04423403363942138,0.026663543944149864,0.04290461654205982,0.0005237420924118627,-2.728723001193205,0.884983678931128,0.12778960776364434,128.0,230.0,601.2647058823529
step10,10,0.0,240,34,0.05223424215865506,0.03486139132868017,0.04938729350157778,0.0006329508530736164,-2.6013466222479593,0.8805257772103875,0.14957682549215967,128.0,240.0,591.2647058823529
step10,10,0.25,240,34,0.038621151577361075,0.02845996309450504,0.0299288883476808,0.0007507016749837068,-2.8994102731790905,0.8718991642388049,0.09939584146235504,128.0,240.0,591.2647058823529
step10,10,0.5,240,34,0.03912201165491479,0.02734570728338222,0.03226348044110644,0.0007558911750431977,-2.895183716109772,0.8838325005390513,0.10603108434138547,128.0,240.0,591.2647058823529
step10,10,0.75,240,34,0.04060127256953655,0.026819894622463293,0.03631764087551635,0.0007157631285311041,-2.839323080377453,0.886735203249719,0.11640580244946447,128.0,240.0,591.2647058823529
step10,10,1.0,240,34,0.04345508724256134,0.027953908367198115,0.04110639418030648,0.0006199492102051886,-2.741212273453003,0.8839650150159492,0.128442278209195,128.0,240.0,591.2647058823529
step10,10,0.0,250,34,0.050400936016698206,0.03342635681951122,0.04799411752135492,0.000772825096084885,-2.701760578284508,0.9014565758168055,0.1464269586595349,128.0,250.0,581.2647058823529
step10,10,0.25,250,34,0.037747042208187934,0.029277350908522775,0.02684601394821589,0.0008392772743249527,-3.0234787181615683,0.8982703653703843,0.09580387657723144,128.0,250.0,581.2647058823529
step10,10,0.5,250,34,0.037703056220332445,0.027952318390120072,0.027301405447031114,0.000886832044964239,-2.993934071998025,0.9026566329915602,0.10261072811390021,128.0,250.0,581.2647058823529
step10,10,0.75,250,34,0.03871649673241793,0.02692570877685913,0.028965033780295718,0.0008697712810726973,-2.9307844272254937,0.9050661543578747,0.11288016598644056,128.0,250.0,581.2647058823529
step10,10,1.0,250,34,0.04146608520875922,0.027281567752023457,0.03733288870054885,0.0007811465505770779,-2.8342642798708413,0.9031761315750582,0.12452810472582042,128.0,250.0,581.2647058823529
step10,10,0.0,260,34,0.048736762218583536,0.030851315642684486,0.04747376354656449,0.0007802745438716526,-2.7234707177676882,0.9048350449035274,0.1402839944006929,128.0,260.0,571.2647058823529
step10,10,0.25,260,34,0.03894539674921336,0.029797141524739494,0.029903153159459697,0.0008941853864440123,-2.9806854948980464,0.9001085407867955,0.09301557053349963,128.0,260.0,571.2647058823529
step10,10,0.5,260,34,0.03931036596772528,0.028052548571172068,0.030451362639233877,0.000913136128089063,-2.975459304236194,0.9114136320907974,0.10006798544713667,128.0,260.0,571.2647058823529
step10,10,0.75,260,34,0.040453520467546855,0.026767535213748632,0.03214459259977473,0.0008810170873484751,-2.9312695883147715,0.9148195181808627,0.11046639509124845,128.0,260.0,571.2647058823529
step10,10,1.0,260,34,0.042528499966237435,0.027230737368024453,0.03679797752745795,0.0007853395721599821,-2.8517374057038047,0.9138584119832486,0.12154845642565484,128.0,260.0,571.2647058823529
step10,10,0.0,270,34,0.04708000256038836,0.032680633461994325,0.043816433502723615,0.0008174348319539102,-2.754999252880586,0.9025744448447576,0.13899382902620216,128.0,270.0,561.2647058823529
step10,10,0.25,270,34,0.038324027432846734,0.030905835816945924,0.026766208301304016,0.0009549336361806712,-2.963286299341308,0.8856872870878716,0.09429867658379418,128.0,270.0,561.2647058823529
step10,10,0.5,270,34,0.03856496425425768,0.02969129408841988,0.027263269554173002,0.000947322924709814,-2.9805937930584165,0.9053652362504624,0.10178358447793234,128.0,270.0,561.2647058823529
step10,10,0.75,270,34,0.03980051062354062,0.029131135413314788,0.028347457391452946,0.0009016325739363937,-2.9448861646092444,0.9144488222040029,0.11230280505094684,128.0,270.0,561.2647058823529
step10,10,1.0,270,34,0.0419336630186362,0.029820149190692816,0.03486020900093824,0.0007909827459570434,-2.8656056478325533,0.9133563310381895,0.12279425606003423,128.0,270.0,561.2647058823529
step10,10,0.0,280,34,0.04504367766229735,0.029582791974244523,0.042294036204594376,0.0009136457748761817,-2.729064943399022,0.8892325034637771,0.13416251345041205,128.0,280.0,551.2647058823529
step10,10,0.25,280,34,0.03654394045361791,0.029908237970148906,0.02740474129579372,0.0010651271091418155,-2.972059140206912,0.8790141410566682,0.09120825690034826,128.0,280.0,551.2647058823529
step10,10,0.5,280,34,0.036438165001498574,0.027895576837331647,0.02698553606163759,0.0010831867418250203,-2.964814284686293,0.892241647035596,0.09887883078386142,128.0,280.0,551.2647058823529
step10,10,0.75,280,34,0.037374774616620414,0.026282860659530165,0.02974565441932646,0.0010413075132271416,-2.9153078852368197,0.900996349393588,0.10955434696944007,128.0,280.0,551.2647058823529
step10,10,1.0,280,34,0.03952838811001464,0.02625406516675699,0.03662142682284024,0.0009074672642355534,-2.828922645538025,0.9008330793377304,0.11985528945386274,128.0,280.0,551.2647058823529
step10,10,0.0,290,34,0.04435271956822314,0.028214545431634454,0.0394874298893315,0.0009313376187287702,-2.728776278614765,0.8893081328420251,0.12982617046659825,128.0,290.0,541.2647058823529
step10,10,0.25,290,34,0.03703033502103166,0.03059723719873134,0.026234598561531743,0.00107624355998929,-2.9507278932561123,0.8880514326591024,0.08953469797245717,128.0,290.0,541.2647058823529
step10,10,0.5,290,34,0.03686805339781743,0.028234570094907693,0.026369173559600743,0.0010474347760595114,-2.9494842372369408,0.9020538233101009,0.09745207341205434,128.0,290.0,541.2647058823529
step10,10,0.75,290,34,0.03791605139813716,0.026060544027600392,0.029593863790706755,0.0009881222080008417,-2.906146455061059,0.9078104315155983,0.10810383386718024,128.0,290.0,541.2647058823529
step10,10,1.0,290,34,0.039858597072201005,0.02597029449575423,0.03545927184146372,0.0008335797887212641,-2.8315415018185903,0.9061630688545219,0.11774495115455608,128.0,290.0,541.2647058823529
