fold,seed,model,cell_id,beta,requested_observed_cycle,observed_through_cycle,num_available_context_points,status,reason,future_rmse,current_soh_abs_error,nll,coverage_95,interval_width_95,forecast_start_cycle,num_context_points,num_target_points,schedule,cycle_step
0,42,partial_iv_anp,MATR_b1c14,0.0,100,100,100,ok,,0.08812236489419134,0.001736659170508137,-1.3880035536258768,0.5681233933161953,0.15529406925500577,101,100,778,step10,10
0,42,partial_iv_anp,MATR_b1c14,0.25,100,100,100,ok,,0.06777307883483381,0.0013219787310120301,-1.9308825689063462,0.8650385604113111,0.14783094759180904,101,100,778,step10,10
0,42,partial_iv_anp,MATR_b1c14,0.5,100,100,100,ok,,0.0690319775905411,0.0012926232705985363,-1.9039528123639071,0.8457583547557841,0.1479822860667153,101,100,778,step10,10
0,42,partial_iv_anp,MATR_b1c14,0.75,100,100,100,ok,,0.0728805524945311,0.001232233727436527,-1.817102032225647,0.794344473007712,0.1486380024475104,101,100,778,step10,10
0,42,partial_iv_anp,MATR_b1c14,1.0,100,100,100,ok,,0.07984674993623829,0.0011902930180862636,-1.648965343432668,0.6889460154241646,0.15045398280019998,101,100,778,step10,10
0,42,partial_iv_anp,MATR_b1c14,0.0,110,110,110,ok,,0.08452975416058184,0.0014074532043411025,-1.5388438956421437,0.6471354166666666,0.1541572454739549,111,110,768,step10,10
0,42,partial_iv_anp,MATR_b1c14,0.25,110,110,110,ok,,0.06554567962682874,0.0009587793719778581,-2.0398520041559194,0.8984375,0.14646870305521265,111,110,768,step10,10
0,42,partial_iv_anp,MATR_b1c14,0.5,110,110,110,ok,,0.0673869314000896,0.0009258443380241177,-2.0003516853764465,0.87890625,0.14681622969407598,111,110,768,step10,10
0,42,partial_iv_anp,MATR_b1c14,0.75,110,110,110,ok,,0.07174468335482422,0.0008760748700878951,-1.9021644195824923,0.8359375,0.14785624290489133,111,110,768,step10,10
0,42,partial_iv_anp,MATR_b1c14,1.0,110,110,110,ok,,0.07899897165228141,0.0008581589780874976,-1.7275539002246632,0.7213541666666666,0.15009371991467302,111,110,768,step10,10
