step,support_loss,is_reported_step
1,0.12726245820522308,True
2,0.006889523006975651,False
3,0.00485684210434556,True
4,0.003233828581869602,False
5,0.003337833797559142,True
6,0.003555304603651166,False
7,0.0034430953674018383,False
8,0.0033723164815455675,False
9,0.002709542866796255,False
10,0.0025737318210303783,True
11,0.002711206441745162,False
12,0.0033742794767022133,False
13,0.0025038188323378563,False
14,0.0021088379435241222,False
15,0.0021679142955690622,True
16,0.0030496923718601465,False
17,0.0022476722951978445,False
18,0.002338202204555273,False
19,0.0024145825300365686,False
20,0.001970986369997263,True
