cut_cycle,episodes,voltage_mae,voltage_rmse,voltage_nll,voltage_crps,endpoint_q_mae,endpoint_q_rmse,endpoint_q_nll,endpoint_q_crps,voltage_coverage_95,mean_voltage_epistemic_std_v,mean_voltage_aleatoric_std_v
100,34,0.06514037981306667,0.14107999902367682,6.930505986993975,0.05289546671425984,0.03297691765489644,0.05186678702977696,4.349497266580035,0.027410791505311224,0.594650927824696,0.015130436116391244,0.031143371015787125
130,34,0.060032712144489214,0.1319034857436797,4.508431343806757,0.048015500299855546,0.03123762847286747,0.04920645305809118,2.685111752859485,0.025595642954126762,0.6637477261969003,0.016665233367615762,0.03304409411023645
200,34,0.049432784133990666,0.11347804346497388,-1.0691042937648212,0.037269436866359584,0.027712870378730697,0.042445119049345885,-1.462157628172345,0.021474283222498062,0.8577497562000874,0.019412372042151058,0.040618110722040426
all,102,0.05820195869718217,0.12882050941077677,3.456611012345303,0.04606013462682498,0.030642472168831533,0.04783945304573801,1.8574837970890579,0.02482690589397868,0.705382803407228,0.017069347175386024,0.03493519194935467
