cell_id,cut_cycle,future_cycles,voltage_mae,voltage_rmse,voltage_nll,voltage_crps,endpoint_q_mae,endpoint_q_rmse,endpoint_q_nll,endpoint_q_crps,voltage_coverage_95,mean_voltage_epistemic_std_v,mean_voltage_aleatoric_std_v
MATR_b1c14,100,778,0.03128979643762872,0.07046335334529795,-1.9039917839259348,0.02288437151186284,0.01858104508762801,0.024286724850823192,-0.45981873940596535,0.014139752754955454,0.7107873084372116,0.012647736817598343,0.02965025044977665
MATR_b1c14,130,748,0.027366515366206448,0.06192692535702682,-2.1957691126238554,0.019879947947208047,0.01667719577404267,0.021258180170474074,-1.0310922989908506,0.012210025958114261,0.8561813577454871,0.01937628909945488,0.03233931213617325
MATR_b1c14,200,678,0.02149837975771587,0.04343481362406412,-2.5268616798611627,0.01749820788963041,0.010648037831691866,0.01137345302905614,-1.999254577252225,0.009150493956388573,0.9403748893191062,0.02584952488541603,0.0415244922041893
MATR_b1c18,100,588,0.055373235776291024,0.09674294829719833,1.0269191611193003,0.04220442194096666,0.017946801218045812,0.026665646446558604,-2.4575744362363725,0.012853778748683929,0.30234265734265736,0.013944498263299465,0.025476083159446716
MATR_b1c18,130,558,0.028038733490569717,0.047820144142142265,-1.343171420991088,0.02152699370976275,0.006599976811357724,0.010028935820378915,-3.168937736865143,0.005473713373379054,0.7099634267981825,0.017512215301394463,0.03525109216570854
MATR_b1c18,200,488,0.07965416331635423,0.1565119930420438,-1.9832839803399596,0.050886338818866166,0.04069242235578475,0.05501869154351029,-2.0089390920907806,0.02714748069674071,0.9247720849182905,0.030069245025515556,0.07865627855062485
MATR_b1c19,100,686,0.05579989950983077,0.10636644808999395,0.4618539394532559,0.04317416914990927,0.023781310451969115,0.032208750376878856,0.5965214137062252,0.018737823764299534,0.32880818053596617,0.014330042526125908,0.02721409499645233
MATR_b1c19,130,656,0.04231812299054137,0.07937589972141026,-0.9811342956200987,0.030348146050739617,0.018376069370566343,0.024283480548512575,-0.826568791759006,0.013468940636467742,0.5287170485341217,0.0168753694742918,0.03097560815513134
MATR_b1c19,200,586,0.03953982308929464,0.07838571998663353,-2.3105200493050813,0.02740170147358813,0.025047233588866406,0.029189737056775262,-1.7518355773109147,0.015992152836543937,0.9312061042226654,0.03396898880600929,0.05861147120594978
MATR_b1c2,100,2135,0.1492263264929649,0.28567075044822837,-1.614873267793855,0.09601086300898397,0.09772362563872505,0.11392136691544906,1.714564773442796,0.07391086584740636,0.9957021555781647,0.04618620127439499,0.12761154770851135
MATR_b1c2,130,2105,0.16020952516524914,0.29908528002764806,-1.5299364643672382,0.10186522829700842,0.10560054105137986,0.12375684081853049,1.2570361531867698,0.07739743382183104,0.9973457904236118,0.06191755458712578,0.1416701376438141
MATR_b1c2,200,2035,0.18223695737523382,0.3319594567394369,-1.409236987079003,0.11622830829838712,0.11669898223525477,0.13814587741219903,1.2831689077218815,0.08772302139942624,0.9937130510458242,0.05997508019208908,0.1537613570690155
MATR_b1c30,100,607,0.047712343908911214,0.11510240929372466,-1.4624126476016437,0.036808903858123396,0.023665643013289574,0.03569113246123073,-0.1704937794282273,0.0191960183179987,0.6943019754475365,0.015260789543390274,0.024235820397734642
MATR_b1c30,130,577,0.05313972754876415,0.12560255198181422,0.587095836867771,0.0435785330779434,0.02578286240377707,0.038502996723181304,1.8654514288271944,0.022055698261576044,0.5956300352247759,0.010823557153344154,0.02243160456418991
MATR_b1c30,200,507,0.0419060356840099,0.1063200460710333,-1.7223199328513659,0.033100189530123295,0.02367044071238892,0.03469296158420518,-0.4514828662482381,0.019159089845993328,0.7300542524333812,0.01354191917926073,0.024777021259069443
MATR_b1c34,100,640,0.046788045843565745,0.10144447047518673,-0.27150563116243276,0.03677309443917035,0.02332334015518427,0.031254419768513106,1.3960846528495825,0.019187805277848625,0.4556538932303926,0.012246999889612198,0.026116935536265373
MATR_b1c34,130,610,0.03827407900682658,0.08455029568634595,-1.4634887013472349,0.028427835722485566,0.02040813389371653,0.026498190959721814,0.28703108664340254,0.01596743339202032,0.614519427402863,0.014471212401986122,0.02857777662575245
MATR_b1c34,200,540,0.02197890828032703,0.045422884644868794,-2.603504033757554,0.01685239724922517,0.01477171524807259,0.01525970690574455,-1.2016776025894713,0.01137326340144583,0.9281248830157601,0.01850406639277935,0.039854634553194046
MATR_b1c35,100,601,0.05875168586087959,0.1292522771414038,0.8111371188710628,0.04800258486781039,0.025021364803917198,0.03666754909371658,0.4915077325001404,0.020874621229562365,0.4382177385456074,0.010310813784599304,0.023339465260505676
MATR_b1c35,130,571,0.050000297789604534,0.11319732405386058,-1.0372595150495874,0.03877917889568061,0.02251781995576234,0.032771404375937625,-0.9391830288434617,0.017819957187284474,0.5667996807661612,0.014122038148343563,0.02542855776846409
MATR_b1c35,200,501,0.023850426536885377,0.05920955740102433,-2.686819537638254,0.017354793169559804,0.01081414113263646,0.014223214596368374,-2.7063043498202375,0.0075845962588097305,0.9605116004798796,0.016741199418902397,0.03368346393108368
MATR_b1c42,100,600,0.057254512762080316,0.12691050491812886,-0.33359086949688427,0.04568025941941364,0.028073459565639496,0.039743838680501395,0.9502645834624422,0.023369452966495965,0.49294803906735923,0.013910684734582901,0.024367699399590492
MATR_b1c42,130,570,0.04546816891030299,0.10428287436765644,-1.5129094772894065,0.03481346685334816,0.023838138371183162,0.03355449201844865,-0.6632632033624701,0.01894530183461385,0.6252239785690209,0.012648209929466248,0.026478128507733345
MATR_b1c42,200,500,0.03534356343802717,0.08193850635011223,-2.3457391994112067,0.024859286638943105,0.018830973267555236,0.02461323676772038,-1.6831897499857398,0.013368762852822527,0.8983982252254086,0.015565290115773678,0.029769912362098694
MATR_b1c5,100,972,0.03305091893612205,0.06947228741153408,-2.2146335528184617,0.023327489564625725,0.023745818822472183,0.0255325574955807,0.5455140715027056,0.017408436619555483,0.8732136199826022,0.023343807086348534,0.04692566767334938
MATR_b1c5,130,942,0.0373070901491131,0.08042186407865014,-2.2445914845838604,0.026074293267097294,0.026396609415673906,0.02923597114182939,0.27319882178706023,0.018896258182949897,0.9074074074074074,0.025848131626844406,0.05142582952976227
MATR_b1c5,200,872,0.04019086462142659,0.0873631339928429,-2.167304960251367,0.028893423597672795,0.02664836195357349,0.030307695998471097,-0.5455853068582406,0.018180052355133924,0.9271538532875823,0.03618171066045761,0.058157309889793396
MATR_b1c6,100,534,0.0603340325619499,0.120659767254241,5.1350593233707125,0.0507204157218078,0.024838185600573652,0.038039952305145563,3.028789284612924,0.02154685685069509,0.2637829469073333,0.009762808680534363,0.02096475102007389
MATR_b1c6,130,504,0.060224577804257495,0.12104493164114977,6.726896611683137,0.05133727034324335,0.02517764778837325,0.03935861391065092,4.2889262457419735,0.022055694202150252,0.2478445683121466,0.008276710286736488,0.02082449197769165
MATR_b1c6,200,434,0.04766369598311509,0.10026242398666418,0.8618474349228727,0.03876240204981134,0.022541203806477207,0.03554637166635352,-0.6776637165941811,0.018599880474971787,0.3874460903806488,0.01107716653496027,0.022658495232462883
MATR_b2c19,100,388,0.06424797518063202,0.1154739196634279,0.8600069186382759,0.05034026611880827,0.02449016165487545,0.033994861450738725,-1.920482527864493,0.0184342336726956,0.28321736249171636,0.012173131108283997,0.025945058092474937
MATR_b2c19,130,358,0.0329034747556972,0.0620853904989358,-2.002284406052919,0.023158216950952593,0.008649681866501963,0.014287026997120103,-3.1727868635780614,0.00636786556815554,0.8440769693325316,0.019893284887075424,0.03802900388836861
MATR_b2c19,200,288,0.034899749619671724,0.06768859438137614,-2.548371700688322,0.024664573377905164,0.015459404637416204,0.016208858999847045,-2.582488323583909,0.0102344872181473,0.9996217136372234,0.017359772697091103,0.05578525364398956
MATR_b2c22,100,439,0.09843198148309171,0.19453764135909998,24.230785881559918,0.08881473870000478,0.04029938884096428,0.06366875321295165,21.06657427848833,0.03720279842276459,0.23093052513862355,0.008622492663562298,0.020069176331162453
MATR_b2c22,130,409,0.0947472801277721,0.18818756371429676,23.07364394526661,0.08554205551206025,0.04031447953291802,0.06306895501089275,18.490018299282053,0.03712744763138571,0.22489576530868538,0.0062845852226018906,0.020261455327272415
MATR_b2c22,200,339,0.035802158318097105,0.08200673248371983,-2.5615034018144707,0.024565709421531665,0.014863106353444688,0.0225909269650686,-2.429552680636634,0.009822829649852372,0.9891117654275549,0.018609708175063133,0.035386793315410614
MATR_b2c24,100,423,0.10020831113534409,0.1993097004688003,36.10132485194866,0.09101238303042478,0.03881672975864816,0.06377899976728596,27.965656795218113,0.035994591161469386,0.23911826962847618,0.007171138655394316,0.018989166244864464
MATR_b2c24,130,393,0.1020433439531896,0.20066565984828086,40.376544396656065,0.09307025363770233,0.03995921851417794,0.06444672123088811,28.492860954258227,0.03708621961226609,0.19951619688683214,0.005579671822488308,0.0190229844301939
MATR_b2c24,200,323,0.05309762044241897,0.12004577961823255,-1.4073733611884491,0.04148829681098523,0.02469808988895948,0.038407024730536685,-1.952646915562484,0.019253266184863577,0.6749967629159653,0.012577361427247524,0.02835971675813198
MATR_b2c3,100,260,0.11126342508821588,0.2032971224239332,10.519942097897406,0.09932730538255168,0.048499162839009215,0.06068631133802348,7.0043108502389915,0.0431517003748924,0.23400975040626693,0.010172000154852867,0.021999238058924675
MATR_b2c3,130,230,0.07136330473964195,0.13551874912727416,-0.608229081948166,0.05610145506205531,0.029557320086852364,0.03591733910355711,-1.3770339012236046,0.02232322211482012,0.48405824688303034,0.014092251658439636,0.032971419394016266
MATR_b2c3,200,160,0.030272725068213952,0.0697947902630202,-2.6234415188281868,0.022434508992513712,0.006815755367279052,0.007642102236044394,-3.0136527094550662,0.005733848091564704,0.9940953184310417,0.012829436920583248,0.052385590970516205
MATR_b2c33,100,445,0.09146860926196422,0.18723041533826756,33.279955339006186,0.08249610228671017,0.03983640242158697,0.061787152335804604,28.936835145370786,0.03687389459251238,0.24164033552317518,0.006960270926356316,0.021011952310800552
MATR_b2c33,130,415,0.0863424697914804,0.17984427563933705,20.63225895084988,0.07719385986515649,0.03925715957779482,0.06216772639858709,17.9594583063825,0.03603163503185614,0.26715764233808814,0.007578359451144934,0.02132054977118969
MATR_b2c33,200,345,0.06426820282835505,0.1414797085926177,0.7062683316154569,0.05298842452521217,0.03214179588400799,0.04889987150763108,0.6319306336458402,0.027179952837138657,0.5054598470647743,0.011547321453690529,0.025570638477802277
MATR_b2c41,100,351,0.09512367884280888,0.19162954067769217,40.87515626965621,0.0863298028629833,0.03949649721129328,0.06378411671089619,39.24469799955819,0.03676559533460821,0.22741878943678429,0.007084105629473925,0.019401175901293755
MATR_b2c41,130,321,0.08897935986618385,0.1836102126159162,28.58329990180888,0.08018926118109028,0.04065035455323454,0.06544764218794487,29.732871280531988,0.0377496384978113,0.2786590456618072,0.0071067288517951965,0.019734753295779228
MATR_b2c41,200,251,0.06293654069615062,0.14336030728008028,2.1935602867623163,0.053506024086535195,0.03411568802191442,0.052413799655838735,2.7309530237236466,0.029859586304793618,0.5952976488244122,0.008581372909247875,0.024356912821531296
MATR_b3c1,100,961,0.025310947088511983,0.05989840106879452,-2.811004055940237,0.018782393780444998,0.016700340917529723,0.018907975063060665,-1.896568639343019,0.011711876654923202,0.9991227884757657,0.02559434249997139,0.04448753595352173
MATR_b3c1,130,931,0.020862637488192413,0.05318272681867383,-2.827997384255296,0.017053158227495393,0.01369759750929606,0.015221610067794846,-2.209085964832715,0.009838315727143495,0.9999890779615107,0.028857460245490074,0.0413660891354084
MATR_b3c1,200,861,0.01991952277017263,0.05098463707213464,-2.9789293657467844,0.01508516752951661,0.011187486463030595,0.012843482928205911,-2.6794728418777165,0.007724479984898205,0.9998933876661376,0.0159678366035223,0.03718652203679085
MATR_b3c14,100,756,0.03787196763591826,0.08838952725714054,-2.333263765885412,0.02659615221136279,0.017558817746778015,0.023511562057648577,-0.47858090718548474,0.013503612166291964,0.918952020874381,0.016244621947407722,0.028457820415496826
MATR_b3c14,130,726,0.03553076156411192,0.0837758333519046,-2.4284211059125744,0.024857618600012992,0.01661455910396313,0.022434042247340094,-0.868826126421144,0.01263656384885548,0.9370643934134896,0.016376961022615433,0.028947757557034492
MATR_b3c14,200,656,0.02357638605220381,0.061917399663831,-2.798189835034418,0.01749010335007599,0.011010602025724039,0.01530771790332187,-2.0116857233150474,0.00883930207014962,0.9967446309553196,0.01906602829694748,0.03366687148809433
MATR_b3c17,100,1213,0.04921908602865614,0.1017221682212284,-2.412880061325871,0.03196735817937861,0.02898766330127763,0.035788972772185484,-1.791784914130595,0.01896693761423665,0.9995200848692021,0.028644829988479614,0.05995531752705574
MATR_b3c17,130,1183,0.04427517070316631,0.0920390218135466,-2.471701505725811,0.029134473600863263,0.02531114721943137,0.031098066186450415,-1.983249637659562,0.01645105706028713,0.9994555400955829,0.03079669550061226,0.057352982461452484
MATR_b3c17,200,1113,0.04888559553706229,0.10176731844910601,-2.4410173179339094,0.03178119727676566,0.026145766955287416,0.03267732016571847,-2.1744146282403025,0.01673838509961107,0.9994197345515837,0.029143406078219414,0.05902445316314697
MATR_b3c24,100,723,0.024769962848024744,0.05921242270156431,-2.6388618658580243,0.017636254139557175,0.008242482878525392,0.013968521155263114,-3.4056155045544196,0.005687667567668455,0.9784488890153347,0.014683505520224571,0.02938234433531761
MATR_b3c24,130,693,0.02666899857761446,0.06280855241481927,-2.618106148600491,0.018701047967246323,0.007940951535884092,0.013542079548631484,-3.3713826855996905,0.005646247503499524,0.9733517626776054,0.013715807348489761,0.028685489669442177
MATR_b3c24,200,623,0.019911852548389918,0.05059641773541508,-2.7692220611572824,0.015294737202124542,0.006979112831777019,0.011896216950733394,-3.23713789833782,0.0056178247053060935,0.9940116780571959,0.01692645065486431,0.030494574457406998
MATR_b3c31,100,629,0.04998225258986385,0.1128099693124786,-1.0022511578046953,0.03886213680730124,0.019347271877555666,0.02907654441483454,-0.7006505679709959,0.0156125628135096,0.5646088156923176,0.010937069542706013,0.023609492927789688
