epoch,source,teacher_forced_mse,recursive_mse,source_weight,cut_point_count,cut_point_min,cut_point_max,cut_points
5,CALCE_CX2_33.pkl,0.36545491218566895,0.4228891134262085,0.16666666666666666,16,46,1234,"[46, 100, 125, 254, 286, 352, 453, 590, 598, 685, 775, 929, 994, 1019, 1168, 1234]"
5,CALCE_CX2_34.pkl,0.3256753981113434,0.38872209191322327,0.16666666666666666,16,34,1356,"[34, 100, 158, 268, 301, 420, 480, 634, 649, 783, 893, 988, 1071, 1122, 1198, 1356]"
5,CALCE_CX2_35.pkl,0.39487943053245544,0.4685015082359314,0.16666666666666666,16,9,1413,"[9, 100, 152, 229, 376, 467, 509, 643, 742, 819, 913, 1024, 1156, 1234, 1307, 1413]"
5,CALCE_CX2_36.pkl,0.31359636783599854,0.3455902636051178,0.16666666666666666,16,34,1554,"[34, 100, 199, 258, 373, 454, 536, 718, 784, 926, 1042, 1118, 1216, 1280, 1370, 1554]"
5,CALCE_CX2_38.pkl,0.25202715396881104,0.30749058723449707,0.16666666666666666,16,71,1517,"[71, 100, 178, 275, 414, 512, 569, 733, 777, 876, 1008, 1094, 1177, 1308, 1396, 1517]"
6,CALCE_CX2_16.pkl,0.4433167278766632,0.4786182940006256,0.16666666666666666,16,17,1265,"[17, 100, 103, 230, 319, 406, 431, 575, 611, 734, 845, 915, 1021, 1076, 1170, 1265]"
6,CALCE_CX2_33.pkl,0.341600626707077,0.39390498399734497,0.16666666666666666,16,9,1198,"[9, 93, 100, 246, 281, 340, 437, 573, 671, 727, 790, 919, 933, 1043, 1107, 1198]"
6,CALCE_CX2_34.pkl,0.3020961582660675,0.3609806299209595,0.16666666666666666,16,5,1303,"[5, 100, 136, 192, 335, 367, 545, 569, 696, 777, 821, 947, 1078, 1137, 1269, 1303]"
6,CALCE_CX2_35.pkl,0.36656320095062256,0.43783751130104065,0.16666666666666666,16,45,1425,"[45, 100, 161, 284, 313, 402, 551, 662, 724, 837, 917, 1058, 1077, 1223, 1321, 1425]"
6,CALCE_CX2_36.pkl,0.2858410179615021,0.3196132481098175,0.16666666666666666,16,15,1472,"[15, 100, 199, 277, 377, 523, 625, 681, 769, 899, 986, 1097, 1250, 1352, 1408, 1472]"
6,CALCE_CX2_38.pkl,0.23170916736125946,0.2843213677406311,0.16666666666666666,16,22,1514,"[22, 100, 161, 290, 385, 451, 618, 678, 783, 897, 962, 1125, 1227, 1327, 1372, 1514]"
7,CALCE_CX2_16.pkl,0.41378289461135864,0.44597968459129333,0.16666666666666666,16,46,1228,"[46, 98, 100, 185, 269, 399, 434, 533, 682, 751, 779, 929, 950, 1087, 1128, 1228]"
7,CALCE_CX2_33.pkl,0.3095186948776245,0.3648296296596527,0.16666666666666666,16,8,1224,"[8, 100, 167, 198, 300, 357, 508, 567, 648, 679, 820, 883, 986, 1100, 1102, 1224]"
7,CALCE_CX2_34.pkl,0.276736319065094,0.33320099115371704,0.16666666666666666,16,83,1281,"[83, 100, 173, 218, 290, 370, 463, 620, 643, 733, 839, 989, 1081, 1137, 1228, 1281]"
7,CALCE_CX2_35.pkl,0.33753934502601624,0.40701043605804443,0.16666666666666666,16,34,1442,"[34, 100, 144, 274, 341, 455, 510, 669, 761, 866, 958, 1043, 1139, 1228, 1280, 1442]"
7,CALCE_CX2_36.pkl,0.26112937927246094,0.2936716079711914,0.16666666666666666,16,66,1497,"[66, 100, 161, 287, 405, 419, 529, 667, 736, 939, 997, 1141, 1187, 1354, 1449, 1497]"
7,CALCE_CX2_38.pkl,0.20973515510559082,0.2613065540790558,0.16666666666666666,16,95,1552,"[95, 100, 171, 299, 419, 447, 631, 678, 785, 881, 968, 1056, 1230, 1313, 1371, 1552]"
8,CALCE_CX2_16.pkl,0.38003069162368774,0.4129754602909088,0.16666666666666666,16,43,1215,"[43, 100, 113, 254, 341, 416, 489, 564, 632, 758, 836, 887, 944, 1029, 1165, 1215]"
