epoch,task_balanced_teacher_forced_mse,task_balanced_recursive_mse,gradient_norm,learning_rate,elapsed_seconds
1,0.4680415838956833,0.5222330590089163,1.8612104654312134,0.001,2.692286774981767
2,0.44011616706848145,0.49283888439337414,1.813089370727539,0.001,5.283902724971995
3,0.41084739069143933,0.4640190800031026,1.759137749671936,0.001,7.750620058039203
4,0.3848910133043925,0.43558571736017865,1.7165000438690186,0.001,10.352853647898883
5,0.3552994678417842,0.40736886858940125,1.6634047031402588,0.001,12.836412269854918
6,0.3285211498538653,0.37921267251173657,1.6193170547485352,0.001,15.351273661013693
7,0.30140696465969086,0.3509998172521591,1.573246955871582,0.001,17.913153287023306
8,0.2755667318900426,0.32264088094234467,1.5282249450683594,0.001,20.411058279918507
9,0.2496076598763466,0.29406936715046567,1.4833314418792725,0.001,23.017753822961822
10,0.22281550616025925,0.26525091131528217,1.4276843070983887,0.001,25.488203244982287
11,0.1964862197637558,0.23617754876613617,1.368607759475708,0.001,27.952013622038066
12,0.17112365116675696,0.2068690856297811,1.3112175464630127,0.001,30.54088340094313
13,0.1462401474515597,0.17741911113262177,1.2423499822616577,0.001,32.999414949910715
14,0.12154674778381984,0.14803708220521608,1.1573878526687622,0.001,35.58146836399101
15,0.09785422496497631,0.11909213041265805,1.0646774768829346,0.001,38.05176392686553
16,0.07533711940050125,0.0912569227317969,0.9448832273483276,0.001,40.53991009783931
17,0.05495953870316347,0.06565338869889577,0.7973718643188477,0.001,43.10261835483834
18,0.03767407964915037,0.04409382864832878,0.6136082410812378,0.001,45.59947280003689
19,0.025176616851240396,0.029312297080953915,0.37663236260414124,0.001,48.188403486972675
20,0.0187281034886837,0.02459908416494727,0.07536884397268295,0.001,50.65614359686151
21,0.021811234609534342,0.03085117709512512,0.3145815134048462,0.001,53.1131478799507
22,0.031832944601774216,0.04132417465249697,0.7022556662559509,0.001,55.70570335886441
23,0.04453026627500852,0.046438884610931076,1.0123950242996216,0.001,58.20708453701809
24,0.04863944354777535,0.04400727959970633,1.1021342277526855,0.001,60.77579736686312
25,0.046541751362383366,0.03732456251357993,1.0457829236984253,0.001,63.25976940989494
26,0.03985769643137852,0.030470461196576554,0.8891692757606506,0.001,65.73354086885229
27,0.03220592035601536,0.025940460463364918,0.6725521683692932,0.001,68.33511526882648
28,0.025751315833379824,0.024370624994238217,0.46499958634376526,0.001,70.80637959903106
29,0.021395485615357757,0.02532417917003234,0.2739078402519226,0.001,73.27656308794394
30,0.01874787826091051,0.027927910598615806,0.096451036632061,0.001,75.86780539201573
31,0.019122456976523,0.03133489812413851,0.034995947033166885,0.001,78.33527344092727
32,0.018897068065901596,0.0348662327354153,0.13298757374286652,0.001,80.90208509704098
33,0.021063837688416243,0.03807724515597025,0.19729472696781158,0.001,83.37116149999201
34,0.022196258728702862,0.040688577108085155,0.2501561641693115,0.001,85.84135757992044
35,0.02343508042395115,0.042549428840478264,0.2884396016597748,0.001,88.4350640559569
36,0.024376297369599342,0.04358299821615219,0.3238178789615631,0.001,90.89499148796313
37,0.024655092507600784,0.04380393245567878,0.3378371298313141,0.001,93.46876764902845
38,0.02475233158717553,0.04328517305354277,0.3373114764690399,0.001,95.93162341485731
39,0.024607618649800617,0.042125621189673744,0.33276277780532837,0.001,98.37844955688342
40,0.02340422725925843,0.04045469251771768,0.31707680225372314,0.001,100.97769924788736
41,0.02300541615113616,0.0384303176154693,0.28747856616973877,0.001,103.44913653284311
42,0.02195734779040019,0.0362004746372501,0.2594599723815918,0.001,106.05925652594306
43,0.0211157927600046,0.033924563166995846,0.21860329806804657,0.001,108.54399619600736
44,0.02023841595898072,0.0317377932369709,0.1796824038028717,0.001,111.03680035402067
45,0.019266399710128706,0.029763052860895794,0.1325136423110962,0.001,113.61029633390717
46,0.019031478092074394,0.028102007694542408,0.07533621788024902,0.001,116.0755739568267
47,0.0184847394314905,0.02679484182347854,0.03387358784675598,0.001,118.62167049990967
48,0.01850786603366335,0.025841808567444485,0.035209547728300095,0.001,121.06387350196019
49,0.01858343727265795,0.02520479199786981,0.07509978860616684,0.001,123.5559591918718
50,0.01864367537200451,0.02481819223612547,0.11037584394216537,0.001,126.17592327599414
51,0.018669093493372202,0.024609279508392017,0.13443967700004578,0.001,128.66009739995934
52,0.019095305042962234,0.024517348036170006,0.16080424189567566,0.001,131.26646545599215
53,0.019789711106568575,0.02450352783004443,0.1834905445575714,0.001,133.74273050785996
54,0.01969316431010763,0.024555891752243042,0.18321751058101654,0.001,136.21244959696196
55,0.019196711170176666,0.024681988793114822,0.17206355929374695,0.001,138.81899338704534
56,0.01958184378842513,0.024906580957273643,0.16712556779384613,0.001,141.27731354092248
57,0.019167935630927484,0.02524747358014186,0.14026707410812378,0.001,143.86209371383302
58,0.018586944323033094,0.02570339913169543,0.1059407964348793,0.001,146.37306401901878
