horizon,status,reason,n_test_cells,rmse_cycles,mae_cycles,mape_percent,bias_cycles,coverage,mean_interval_width_cycles
20,ok,,34,250.59815879249334,159.0729136185798,19.59557310750226,3.577857256119815,0.9117647058823529,892.8705517435473
40,ok,,34,242.18550281823227,155.15640309462464,20.153187064123014,11.150709276031675,0.9117647058823529,802.032610221721
60,ok,,34,238.07465437803455,153.515354015456,20.31419291965848,22.579973165271298,0.9411764705882353,791.2410618236763
80,ok,,34,223.5097268895549,141.07849382989866,18.766047552566707,5.6074280762082465,0.8823529411764706,727.136157156399
100,ok,,34,253.39885306974756,179.00690288879747,26.187814136233854,62.881618033138636,0.9117647058823529,888.7852617153422
