method,seed,held_out_protocol,support_repeat,adaptation_step,effective_adaptation_step,count,mae_cycles,median_absolute_error_cycles,rmse_cycles,mape_percent,mean_bias_cycles,within_10_percent_accuracy,within_15_percent_accuracy,r2,max_absolute_error_cycles,y_general_mae_cycles,y_general_rmse_cycles,mean_absolute_y_general,mean_absolute_specific_residual,residual_to_general_ratio,residual_ratio_warning,general_representation_cosine_distance,general_representation_l2_distance,specific_representation_cosine_distance,specific_representation_l2_distance,source_validation_general_domain_accuracy,source_validation_specific_domain_accuracy,target_support_labels_used_for_adaptation,target_query_labels_used_for_adaptation_or_checkpoint_selection,prediction_mode
hybrid,42,protocol_1,0,0,0,6,437.67690022786456,406.0224609375,569.2596341207674,28.198880098816385,-28.344014485677082,0.3333333333333333,0.5,-0.1918200401510315,1045.7607421875,434.8603108723958,566.3731889248686,1807.70849609375,4.959804058074951,0.0027436968232392098,False,3.973643103449831e-08,0.0,0.0,0.0,0.25,0.5,False,False,residual
hybrid,42,protocol_1,0,1,1,6,439.0065511067708,404.884765625,569.314751834571,28.230122465401426,-32.326253255208336,0.3333333333333333,0.5,-0.1920508437145656,1043.08740234375,436.1487223307292,566.4396801899829,1803.8974609375,4.982348918914795,0.002761991203383272,False,3.973643103449831e-08,0.0,2.276897430419922e-05,0.030865943059325218,0.25,0.5,True,False,residual
hybrid,42,protocol_1,0,2,2,6,440.0831705729167,403.8900146484375,569.3345555350411,28.253592386264998,-35.629557291666664,0.3333333333333333,0.5,-0.19213377649775754,1040.736083984375,437.1910807291667,566.4709631230052,1800.74267578125,5.014862537384033,0.0027848857056760436,False,3.973643103449831e-08,0.0,8.387367415707558e-05,0.060530148446559906,0.25,0.5,True,False,residual
hybrid,42,protocol_1,0,5,5,6,442.22536214192706,401.5325927734375,569.1828596766499,28.29026138381988,-42.626322428385414,0.3333333333333333,0.5,-0.19149858700268285,1035.025146484375,439.26568603515625,566.3590771899198,1794.0902099609375,5.188052177429199,0.00289174543655871,False,3.973643103449831e-08,0.0,0.0004441638884600252,0.143326997756958,0.25,0.5,True,False,residual
hybrid,42,protocol_1,0,10,10,6,443.79453531901044,398.78759765625,568.4447653520905,28.289318673459523,-48.911844889322914,0.3333333333333333,0.5,-0.18841041201981068,1027.9658203125,440.7882893880208,565.699429365315,1788.18896484375,5.368766784667969,0.00300234868362309,False,3.973643103449831e-08,0.0,0.0014632940292358398,0.2649827003479004,0.25,0.5,True,False,residual
hybrid,42,protocol_1,1,0,0,6,324.729736328125,208.48443603515625,393.7308565792945,15.986996744899029,-185.7401123046875,0.3333333333333333,0.5,0.21896196412484115,639.9014892578125,322.4549560546875,391.02935360268003,1693.1351318359375,5.322154521942139,0.0031433725648177314,False,-9.934107758624577e-09,0.0,9.934107758624577e-09,0.0,0.25,0.5,False,False,residual
hybrid,42,protocol_1,1,1,1,6,340.8774820963542,193.263427734375,429.4655274588649,16.323841380417715,-229.12569173177084,0.5,0.6666666666666666,0.07075571316229501,762.6669921875,338.4288330078125,425.66469432494176,1651.3330078125,6.791983127593994,0.004113030561044285,False,-9.934107758624577e-09,0.0,0.0010806223144754767,0.22913682460784912,0.25,0.5,True,False,residual
hybrid,42,protocol_1,1,2,2,6,351.7327473958333,191.380126953125,455.900953780643,16.55479812638239,-258.25439453125,0.5,0.6666666666666666,-0.04716298493020177,843.2462158203125,349.15114339192706,451.13460457208583,1623.29052734375,7.8782639503479,0.004853267987240333,False,-9.934107758624577e-09,0.0,0.0036897659301757812,0.42628034949302673,0.25,0.5,True,False,residual
hybrid,42,protocol_1,1,5,5,6,376.7427164713542,189.16009521484375,512.5970915486743,17.27378253661256,-314.8428955078125,0.16666666666666666,0.6666666666666666,-0.3238096915334805,1000.142333984375,370.3402099609375,505.8138816524024,1568.52685546875,9.703069686889648,0.006186103637983242,False,-9.934107758624577e-09,0.0,0.016633760184049606,0.9058229327201843,0.25,0.5,True,False,residual
hybrid,42,protocol_1,1,10,10,6,435.76019287109375,218.59515380859375,581.3371927713583,20.306233122884166,-369.37034098307294,0.3333333333333333,0.6666666666666666,-0.7026661381957795,1177.158935546875,427.0909830729167,572.8954319510352,1515.0799560546875,10.783652305603027,0.007117546676337778,False,-9.934107758624577e-09,0.0,0.039959728717803955,1.394932508468628,0.25,0.5,True,False,residual
