iteration,source,support_loss,query_loss,alpha
1,CALCE_CX2_16.pkl,1.0083718299865723,0.47121724486351013,0.018279893323779106
1,CALCE_CX2_33.pkl,1.0339994430541992,0.3989085555076599,6.33782435256649e-18
1,CALCE_CX2_34.pkl,1.033244013786316,0.36664941906929016,0.2121271789073944
1,CALCE_CX2_35.pkl,1.087726354598999,0.4259621798992157,0.12336444854736328
1,CALCE_CX2_36.pkl,1.027645230293274,0.3461613655090332,5.227905548427018e-18
1,CALCE_CX2_38.pkl,1.0361154079437256,0.32971373200416565,0.6462284922599792
2,CALCE_CX2_16.pkl,0.9642736911773682,0.4396815299987793,0.01813574694097042
2,CALCE_CX2_33.pkl,0.9896186590194702,0.3692089915275574,5.9525852481949246e-18
2,CALCE_CX2_34.pkl,0.9870668649673462,0.3389334976673126,0.21745800971984863
2,CALCE_CX2_35.pkl,1.0408183336257935,0.3942513167858124,0.12484074383974075
2,CALCE_CX2_36.pkl,0.9824986457824707,0.31930777430534363,4.897783142631086e-18
2,CALCE_CX2_38.pkl,0.9926393628120422,0.30417320132255554,0.6395655274391174
3,CALCE_CX2_16.pkl,0.9192667007446289,0.4064960181713104,0.01810908317565918
3,CALCE_CX2_33.pkl,0.9442704319953918,0.34022778272628784,5.5736223767211056e-18
3,CALCE_CX2_34.pkl,0.9423472285270691,0.31119823455810547,0.22303958237171173
3,CALCE_CX2_35.pkl,0.9956111907958984,0.3641086220741272,0.12629219889640808
3,CALCE_CX2_36.pkl,0.9385903477668762,0.2911880910396576,4.577311039451504e-18
3,CALCE_CX2_38.pkl,0.9494512677192688,0.27833545207977295,0.6325591206550598
4,CALCE_CX2_16.pkl,0.8738459348678589,0.3715076446533203,0.018207838758826256
4,CALCE_CX2_33.pkl,0.8971180319786072,0.3091486096382141,5.200792635899061e-18
4,CALCE_CX2_34.pkl,0.8967920541763306,0.28026774525642395,0.22849686443805695
4,CALCE_CX2_35.pkl,0.9464049339294434,0.3324905037879944,0.1276659369468689
4,CALCE_CX2_36.pkl,0.8908094167709351,0.26371046900749207,4.2666617060459896e-18
4,CALCE_CX2_38.pkl,0.9019867181777954,0.2514137029647827,0.6256293654441833
5,CALCE_CX2_16.pkl,0.8261717557907104,0.33778658509254456,0.018436826765537262
5,CALCE_CX2_33.pkl,0.8490582704544067,0.28027260303497314,4.847741610703772e-18
5,CALCE_CX2_34.pkl,0.8485141396522522,0.2515856623649597,0.23395797610282898
5,CALCE_CX2_35.pkl,0.8969508409500122,0.29934564232826233,0.12901028990745544
5,CALCE_CX2_36.pkl,0.8400371074676514,0.23710864782333374,3.975548310757446e-18
5,CALCE_CX2_38.pkl,0.8539683222770691,0.22622978687286377,0.6185948848724365
6,CALCE_CX2_16.pkl,0.7791118621826172,0.3029167056083679,0.018780749291181564
6,CALCE_CX2_33.pkl,0.8010831475257874,0.24891048669815063,4.551555116718441e-18
6,CALCE_CX2_34.pkl,0.7994965314865112,0.22360751032829285,0.23910607397556305
6,CALCE_CX2_35.pkl,0.8469811677932739,0.26744794845581055,0.1302676498889923
6,CALCE_CX2_36.pkl,0.7957943081855774,0.20832695066928864,3.7352924610705e-18
6,CALCE_CX2_38.pkl,0.8061476349830627,0.19967302680015564,0.6118455529212952
7,CALCE_CX2_16.pkl,0.7313969731330872,0.26753804087638855,0.01924792490899563
7,CALCE_CX2_33.pkl,0.7506691813468933,0.21582476794719696,4.288920722739485e-18
7,CALCE_CX2_34.pkl,0.7513443231582642,0.19408254325389862,0.24368678033351898
7,CALCE_CX2_35.pkl,0.796887218952179,0.233822301030159,0.13140378892421722
7,CALCE_CX2_36.pkl,0.7440986633300781,0.18117699027061462,3.523852275202452e-18
7,CALCE_CX2_38.pkl,0.7540175318717957,0.17370596528053284,0.6056615114212036
8,CALCE_CX2_16.pkl,0.6799766421318054,0.23391938209533691,0.01985664665699005
8,CALCE_CX2_33.pkl,0.7011167407035828,0.1854659914970398,4.0257949834766735e-18
8,CALCE_CX2_34.pkl,0.699166476726532,0.16599801182746887,0.24773730337619781
