iteration,weighted_meta_loss,ema_source_meta_loss,alpha_entropy,effective_sources,mmd_objective,rbf_sigma,qp_solver_status,learning_rate,elapsed_seconds,eta_seconds,iteration_seconds,cuda_allocated_bytes,cuda_reserved_bytes
1,0.352009117603302,0.352009117603302,0.9423718452453613,2.0913407802581787,0.00017594398914644316,0.1358477694306055,OSQP:optimal,0.001,3.2441509939963,7458.303135197493,3.2438400180544704,67884544,591396864
2,0.325435072183609,0.3514776366949081,0.9501307010650635,2.117539644241333,0.0001736837079062692,0.13451364550220785,OSQP:optimal,0.001,6.206709074904211,7131.508727064938,2.9593492769636214,67940864,591396864
3,0.2988184988498688,0.3504244539380073,0.9583104848861694,2.145207643508911,0.00017266681243244264,0.13309966407080767,OSQP:optimal,0.001,9.382207839982584,7183.643802813332,3.1507443831069395,67943424,591396864
4,0.270544171333313,0.34882684828591337,0.9664515256881714,2.172717809677124,0.0001730637931293133,0.1313967550149483,OSQP:optimal,0.001,12.44146866898518,7141.403015997494,3.0296813130844384,67945472,591396864
5,0.24365143477916718,0.3467233400157785,0.9747857451438904,2.200803279876709,0.00017474871495604116,0.12953880667605222,OSQP:optimal,0.001,15.521429228945635,7124.336016086047,3.0519333370029926,67942400,591396864
6,0.2161637842655182,0.3441121489007733,0.982867956161499,2.2279202938079834,0.00017711123952013352,0.12768802890073955,OSQP:optimal,0.001,18.728761459933594,7160.629798181278,3.176603158004582,67941376,591396864
7,0.18837705254554749,0.34099744697366874,0.9904712438583374,2.253030776977539,0.000180472421287603,0.1257127411663582,OSQP:optimal,0.001,21.823288418003358,7148.685763211672,3.0649863310391083,67940352,591396864
8,0.1608658879995346,0.337394815794186,0.9977746605873108,2.276538610458374,0.00018548544700014435,0.12344615789341881,OSQP:optimal,0.001,24.939947563922033,7145.294977063662,3.086554561043158,67943424,591396864
9,0.13338100910186768,0.33331453966033964,1.0038646459579468,2.295236349105835,0.00019101325168058292,0.12112536938562271,OSQP:optimal,0.001,28.162449213908985,7168.907905451721,3.19833019701764,67943424,591396864
10,0.10773743689060211,0.32880299760494486,1.008216142654419,2.3071019649505615,0.00019605206258588304,0.11886493863087522,OSQP:optimal,0.001,31.273002788890153,7161.517638655845,3.08662183501292,67942400,591396864
11,0.08320526033639908,0.32389104285957393,1.0109622478485107,2.312619686126709,0.00020082766158402432,0.11660544852397042,OSQP:optimal,0.001,34.49601321993396,7178.306750948075,3.1976095939753577,67943424,591396864
12,0.06104142218828201,0.31863405044614806,1.011987328529358,2.3114795684814453,0.00020499425634978863,0.11440931554536594,OSQP:optimal,0.001,37.600505263893865,7169.163003649097,3.079479221953079,67944448,593494016
13,0.04253552109003067,0.3131120798590257,1.0115736722946167,2.3049814701080322,0.0002087523477325437,0.11223664380134353,OSQP:optimal,0.001,40.8513879829552,7186.701870539889,3.224455101066269,67945472,593494016
14,0.02878294326364994,0.3074254971271182,1.0102638006210327,2.2951743602752686,0.00021349417552185557,0.10976735571887897,OSQP:optimal,0.001,43.9670366239734,7179.188980171656,3.089583189925179,67944448,593494016
15,0.021814104169607162,0.301713269267968,1.0079596042633057,2.2823238372802734,0.0002176149970742891,0.10744679778912627,OSQP:optimal,0.001,47.07334820192773,7170.840042760324,3.0809781219577417,67942400,593494016
16,0.021468019112944603,0.29610836426486753,1.0051010847091675,2.268347978591919,0.00022086112174646289,0.10537098391522749,OSQP:optimal,0.001,50.3028895559255,7180.737484108366,3.203361996100284,67941888,593494016
17,0.02699715457856655,0.2907261400711415,1.0021823644638062,2.2551722526550293,0.00022337028997987396,0.10356766477031795,OSQP:optimal,0.001,53.42647667392157,7174.861543915467,3.0900663109496236,67943424,593494016
18,0.03480463847517967,0.28560771003922225,0.9992871880531311,2.2429745197296143,0.00022525362052017162,0.1020172951199401,OSQP:optimal,0.001,56.66159098595381,7183.430590552588,3.2098421800183132,67942400,593494016
19,0.04174880310893059,0.2807305319006164,0.9964030981063843,2.231379270553589,0.00022702471522351164,0.10059439875767082,OSQP:optimal,0.001,59.77327946294099,7175.939497629915,3.0855778249679133,67941376,593494016
20,0.04439551383256912,0.27600383153925545,0.9931241273880005,2.2188186645507812,0.00022836688121696813,0.09934306028340376,OSQP:optimal,0.001,62.88709655799903,7169.129007611889,3.0879189249826595,67940352,593494016
21,0.04580476135015488,0.2713998501354734,0.9894459247589111,2.2049896717071533,0.00023016953040944088,0.09799550471449175,OSQP:optimal,0.001,66.12327584100422,7175.949792459457,3.209315156098455,67943424,593494016
22,0.04321141541004181,0.26683608144096477,0.9850946664810181,2.1889336109161377,0.00023244954030587905,0.09652627451573309,OSQP:optimal,0.001,69.2411574749276,7169.607123994776,3.0922973490087315,67944448,593494016
23,0.038793206214904785,0.26227522393644354,0.9800008535385132,2.1704766750335693,0.0002350054590228856,0.09492867834592872,OSQP:optimal,0.001,72.48132221389096,7175.650899175205,3.2154905300121754,67942912,593494016
