source,alpha
CALCE_CX2_16.pkl,0.0
CALCE_CX2_33.pkl,4.083233e-18
CALCE_CX2_34.pkl,0.12086768
CALCE_CX2_35.pkl,0.024967281
CALCE_CX2_36.pkl,0.0720865
CALCE_CX2_38.pkl,0.78207856
