fold,seed,model,cell_id,alpha,beta,status,reason,future_rmse,current_soh_abs_error,nll,coverage_95,interval_width_95,inference_latency_ms,inference_latency_median_ms,inference_latency_std_ms,current_cycle,num_context_points,num_target_points,reference_cycles
0,42,hs_anp_pooled,MATR_b1c18,0.1,0.0,ok,,0.07915070239234395,0.006763355115755654,-0.134132183832142,0.1723027375201288,0.0921604681381357,3.2730804290622473,3.271683119237423,0.007935173123628873,68,67,621,
0,42,hs_anp_pooled,MATR_b1c18,0.2,0.0,ok,,0.054877485877956926,0.0030548689257099415,-0.03450041897356553,0.27898550724637683,0.0527589001349308,4.349482571706176,4.348848480731249,0.00745131288330615,137,128,552,
0,42,hs_anp_pooled,MATR_b1c18,0.3,0.0,ok,,0.06045897020603122,0.002332640376523698,1.7086109621223704,0.21325051759834368,0.049193446659610465,4.338725307025015,4.337627207860351,0.004854961600444246,206,128,483,
0,42,hs_anp_pooled,MATR_b1c18,0.4,0.0,ok,,0.07410680081205853,0.0019498530997792418,3.85833034686796,0.1570048309178744,0.050991176050163955,4.346744413487613,4.347876412793994,0.007311895620364107,275,128,414,
0,42,hs_anp_pooled,MATR_b1c18,0.5,0.0,ok,,0.07627471986150547,0.0017248190302664446,4.793045975531113,0.07246376811594203,0.051735990894300615,4.348342376761138,4.348528571426868,0.005330876941611873,344,128,345,
0,42,hs_anp_pooled,MATR_b1c18,0.6,0.0,ok,,0.051805272210145845,0.003263194686817017,1.9910781025630209,0.09747292418772563,0.04622931025602353,4.3420440051704645,4.342380911111832,0.0054084152634157005,412,128,277,
0,42,hs_anp_pooled,MATR_b1c18,0.7,0.0,ok,,0.027518850401686702,0.004774575462840103,-0.6128564962173646,0.21153846153846154,0.03922205084023801,4.338369169272482,4.338358296081424,0.005336432857478636,481,128,208,
0,42,hs_anp_pooled,MATR_b1c19,0.1,0.0,ok,,0.07865466479869236,0.00877329612714739,-0.8223751883684708,0.5190409026798307,0.10502205120930548,3.2405246514827013,3.240464022383094,0.008735286864815728,78,77,709,
0,42,hs_anp_pooled,MATR_b1c19,0.2,0.0,ok,,0.04459884141925152,0.0014386383548011805,-2.3248199408166768,0.692063492063492,0.07313262056381774,4.3521656189113855,4.35081752948463,0.006248022497135432,157,128,630,
0,42,hs_anp_pooled,MATR_b1c19,0.3,0.0,ok,,0.02866224776379743,0.0013320272208602324,-2.267691841335508,0.5416666666666666,0.05409221137314542,4.3539623729884624,4.353532334789634,0.004309088433024893,235,128,552,
