epoch,train_mse,validation_mse,gradient_norm_max,learning_rate,elapsed_seconds
1,0.9373360872268677,0.8649329543113708,2.6077539920806885,0.001,0.0061090250965207815
2,0.8932685852050781,0.8272585272789001,2.5396053791046143,0.001,0.013815240003168583
3,0.850886344909668,0.7903414964675903,2.508234739303589,0.001,0.021578802028670907
4,0.810397207736969,0.7537938952445984,2.4556589126586914,0.001,0.02869742293842137
5,0.7700196504592896,0.7173511385917664,2.407158613204956,0.001,0.035767243010923266
6,0.7305377125740051,0.6807882189750671,2.359933376312256,0.001,0.04335396294482052
7,0.6898574233055115,0.6439208388328552,2.3265388011932373,0.001,0.05038753501139581
8,0.6495896577835083,0.6065543293952942,2.298067331314087,0.001,0.05739116994664073
9,0.6095701456069946,0.568484902381897,2.2605326175689697,0.001,0.06439616810530424
10,0.5700387358665466,0.5295214653015137,2.2236499786376953,0.001,0.07141349790617824
11,0.5255521535873413,0.4894985258579254,2.188978910446167,0.001,0.07843092898838222
12,0.4842761754989624,0.4482462406158447,2.153184413909912,0.001,0.08555098297074437
13,0.4407535791397095,0.4056113362312317,2.111473321914673,0.001,0.09257908398285508
14,0.3971247375011444,0.36145836114883423,2.065005302429199,0.001,0.09959497209638357
15,0.3541858494281769,0.315700501203537,2.014605760574341,0.001,0.10664279107004404
16,0.30620303750038147,0.2683626115322113,1.9481136798858643,0.001,0.11368585005402565
17,0.2574278712272644,0.21965943276882172,1.863175868988037,0.001,0.12071147607639432
18,0.20974846184253693,0.17011816799640656,1.7634820938110352,0.001,0.12772365706041455
19,0.16316667199134827,0.1208488866686821,1.640033483505249,0.001,0.13473438611254096
20,0.11757518351078033,0.07399450987577438,1.4793881177902222,0.001,0.14178573107346892
21,0.0725644901394844,0.03353479504585266,1.2358933687210083,0.001,0.14884057198651135
22,0.03469253331422806,0.006328103132545948,0.9115174412727356,0.001,0.15589271811768413
23,0.008462324738502502,0.002762478543445468,0.4665365517139435,0.001,0.16291917604394257
24,0.0012702951207756996,0.03181977570056915,0.15109305083751678,0.001,0.17067490401677787
25,0.01963360793888569,0.07847318798303604,0.9081941246986389,0.001,0.17678490094840527
