iteration,gradient_norm
1,1.1472833156585691
2,1.1172155141830444
3,1.085224747657776
4,1.0470010042190552
5,1.0069677829742432
6,0.9588881134986876
7,0.9031667113304138
8,0.8362157344818115
9,0.7569965720176697
10,0.6662440299987793
11,0.5520171523094177
12,0.4125831127166748
13,0.2545459866523742
14,0.0773831382393837
15,0.0987222269177436
16,0.2561969757080078
17,0.3446124494075775
18,0.3709569275379181
19,0.3654123246669769
20,0.3675100207328796
21,0.3611847162246704
22,0.3165212869644165
23,0.276400089263916
24,0.2283097207546234
25,0.1814297437667846
26,0.1168903261423111
27,0.0597896538674831
28,0.0282361134886741
29,0.0427512042224407
30,0.0698035955429077
31,0.10606449842453
32,0.1173812896013259
33,0.139050081372261
34,0.1487606912851333
35,0.1467878371477127
36,0.1501623839139938
37,0.1472967267036438
38,0.1397533267736435
39,0.1239143535494804
40,0.1090594232082367
41,0.0850025340914726
42,0.0720316171646118
43,0.0506319031119346
44,0.0397689305245876
45,0.0246500335633754
46,0.0291342586278915
47,0.0418928489089012
48,0.0543013662099838
49,0.0607792548835277
50,0.0682146847248077
51,0.0698267668485641
52,0.0699573084712028
53,0.0718938410282135
54,0.0610899291932582
55,0.0656472221016883
56,0.0506588406860828
57,0.0439447984099388
58,0.0424854904413223
59,0.0404715798795223
60,0.0274956282228231
61,0.0264092721045017
62,0.0259832181036472
63,0.027181165292859
64,0.0275844410061836
65,0.0316219814121723
66,0.0323637910187244
67,0.0331537090241909
68,0.0327832512557506
69,0.0309938509017229
70,0.0339712686836719
71,0.0314012318849563
72,0.030597960576415
73,0.0275960359722375
74,0.0249750334769487
75,0.0259659122675657
76,0.0276534147560596
77,0.0274182166904211
78,0.031849768012762
79,0.0336458161473274
80,0.0390622280538082
81,0.0394580401480197
82,0.03250552713871
83,0.0316893085837364
84,0.0336264669895172
85,0.029173282906413
86,0.0307345427572727
87,0.0285662394016981
88,0.0319815874099731
89,0.0296605583280324
90,0.0284852795302867
91,0.0277496799826622
92,0.0269765276461839
