horizon,status,reason,num_context_cells,num_test_cells,lifetime_rmse_cycles,lifetime_mae_cycles,rul_rmse_cycles,rul_mae_cycles,rul_mape_percent,rul_bias_cycles,rul_coverage,rul_mean_interval_width_cycles
60,ok,,8,34,436.0637443897681,378.36814038699333,436.0637443897681,378.36814038699333,64.89882675984873,271.11002484010106,0.9411764705882353,1410.6122595915595
80,ok,,8,34,285.08756255212523,237.8810980372216,285.08756255212523,237.8810980372216,34.63199660513604,116.46798344234728,0.9411764705882353,1019.6295039438078
100,ok,,8,34,247.83364450165323,152.89915375052388,247.83364450165323,152.89915375052388,16.48331381550346,-71.85943424555414,0.8235294117647058,518.2259127901613
120,ok,,8,34,230.52998010111037,135.20091733901347,230.52998010111037,135.20091733901347,13.989405748495978,-76.52507289801163,0.8823529411764706,455.041530735321
140,ok,,8,34,225.17068904141618,130.0646340532428,225.17068904141618,130.0646340532428,13.649403122662287,-87.7693726817379,0.8823529411764706,430.39590094122565
160,ok,,8,34,229.96629558117567,135.58018366606927,229.96629558117567,135.58018366606927,14.978510826478697,-97.44151504526764,0.7647058823529411,375.1410231549851
180,ok,,8,34,202.93063752488533,119.83776630484836,202.93063752488533,119.83776630484836,14.437924543650935,-32.990819895169274,0.8235294117647058,407.7666230192502
200,ok,,8,34,207.36297717050493,117.54129900383802,207.36297717050493,117.54129900383802,14.12760378993833,-60.11303749238771,0.8235294117647058,350.3908668574199
220,ok,,8,34,200.78384845149142,112.64511213931249,200.78384845149142,112.64511213931249,13.908229848982733,-51.8615332966221,0.8235294117647058,353.3099831850889
240,ok,,8,34,202.87425759192772,112.89994267104316,202.87425759192772,112.89994267104316,14.240437466667933,-60.443053960401144,0.8235294117647058,326.0800667943718
260,ok,,8,34,201.83917894326547,110.85647058498007,201.83917894326547,110.85647058498007,14.494199287292659,-58.53797676751465,0.8235294117647058,328.0900245514672
280,ok,,8,34,194.14832634077285,107.53290891278785,194.14832634077285,107.53290891278785,15.747936515324156,-33.93499355982684,0.8235294117647058,352.8779267355656
300,ok,,8,34,205.80944654422342,111.09434268337748,205.80944654422342,111.09434268337748,15.39453548424995,-73.19063871390756,0.7941176470588235,318.01920466362714
320,ok,,8,34,199.60080196209822,108.35600685273144,199.60080196209822,108.35600685273144,16.30458276545554,-65.96501889207033,0.7647058823529411,327.828061709631
340,ok,,8,34,205.74883386740456,112.66182332053657,205.74883386740456,112.66182332053657,17.91460010995248,-81.95322670934212,0.7352941176470589,320.2328006834502
360,ok,,8,34,206.08748829182383,115.99819197491797,206.08748829182383,115.99819197491797,21.871211428075625,-88.6255002246245,0.7941176470588235,322.85950636695515
380,ok,,8,34,218.54826845132357,128.88324813397662,218.54826845132357,128.88324813397662,28.09103303161188,-111.3199669421725,0.7941176470588235,306.2524390963546
400,ok,,8,34,226.6528867339543,136.0121607841384,226.6528867339543,136.0121607841384,35.6028887304767,-122.67998745267775,0.7941176470588235,301.8181624214819
420,ok,,8,34,235.5821315771886,145.6899480381564,235.5821315771886,145.6899480381564,54.165667925364204,-137.99894833802833,0.7941176470588235,300.73162236374804
440,ok,,8,34,226.3157995577878,136.66058772111379,226.3157995577878,136.66058772111379,127.03661258959016,-124.02119010343391,0.7941176470588235,315.14125337465794
460,ok,,8,30,266.17296325720406,174.93640301482048,266.17296325720406,174.93640301482048,130.0544326336397,-172.18989164418215,0.6,300.73719290020296
480,ok,,8,28,299.61715022878934,210.2986396298015,299.61715022878934,210.2986396298015,83.78509069180345,-210.2986396298015,0.35714285714285715,297.3694868291901
500,ok,,8,26,280.0057648769505,189.08598663287472,280.0057648769505,189.08598663287472,59.2611392575229,-186.6070602455023,0.6153846153846154,353.1089418086183
520,ok,,8,25,309.29344534791016,222.87815574642747,309.29344534791016,222.87815574642747,58.53303908436839,-222.87815574642747,0.52,342.86886153207985
540,ok,,8,24,344.7350918336674,263.3906765710421,344.7350918336674,263.3906765710421,57.43109084351076,-263.3906765710421,0.25,328.65731496052615
560,ok,,8,24,388.3804499013051,313.21795005880176,388.3804499013051,313.21795005880176,78.22328556312146,-313.21795005880176,0.125,285.94632904003305
580,ok,,8,24,396.28774703852764,324.2876429404443,396.28774703852764,324.2876429404443,93.01007514574552,-324.2876429404443,0.08333333333333333,289.5830461885312
600,ok,,8,24,420.9782912394621,351.415988222072,420.9782912394621,351.415988222072,130.82329517036936,-351.415988222072,0.0,270.1397860066884
