horizon,status,reason,num_context_cells,num_test_cells,lifetime_rmse_cycles,lifetime_mae_cycles,rul_rmse_cycles,rul_mae_cycles,rul_mape_percent,rul_bias_cycles,rul_coverage,rul_mean_interval_width_cycles
60,ok,,16,34,568.0968154478873,489.4759371382124,568.0968154478873,489.4759371382124,83.2173122918521,425.1488412559104,0.3235294117647059,591.611784059038
80,ok,,16,34,246.03685104726094,209.0033553497384,246.03685104726094,209.0033553497384,31.224136099822154,117.14987384079373,0.5294117647058824,435.27368802695474
100,ok,,16,34,223.4253891151603,145.18716056095113,223.4253891151603,145.18716056095113,17.310951788642214,-8.287003158621204,0.6470588235294118,292.23908249242504
120,ok,,16,34,225.37653694116815,146.50683920908222,225.37653694116815,146.50683920908222,17.840405533319615,-10.772212312125525,0.5882352941176471,270.09316162531775
140,ok,,16,34,212.16189352066357,135.1116183633751,212.16189352066357,135.1116183633751,16.7940291961112,-14.938222934857393,0.47058823529411764,230.56849887825678
160,ok,,16,34,209.3487623183762,132.3056157246447,209.3487623183762,132.3056157246447,16.635537152407274,-19.741321680354904,0.38235294117647056,199.97702923013316
180,ok,,16,34,208.62780602854968,130.5980817278877,208.62780602854968,130.5980817278877,17.002952938997055,5.124688927120437,0.5294117647058824,191.05078824663795
200,ok,,16,34,182.76920087715575,114.76668283252627,182.76920087715575,114.76668283252627,15.41381374026535,-4.9140983594240275,0.5,175.80047907863974
220,ok,,16,34,176.6708266316031,106.59713305930794,176.6708266316031,106.59713305930794,14.961617763597229,-7.278622764302882,0.5294117647058824,171.34868201269438
240,ok,,16,34,169.5850853243007,100.57387689244572,169.5850853243007,100.57387689244572,14.785175116295418,-10.698866289945821,0.47058823529411764,160.6506553402192
260,ok,,16,34,167.27556267376497,98.32641463934448,167.27556267376497,98.32641463934448,14.864962045785882,-15.807807564601504,0.5294117647058824,159.67750261148828
280,ok,,16,34,161.42524094444195,97.54044981439856,161.42524094444195,97.54044981439856,15.785966624076647,-6.963142967390574,0.5,163.19802433439273
300,ok,,16,34,158.20037643784863,95.26516982021603,158.20037643784863,95.26516982021603,16.087367017986654,-9.694176282117413,0.5,159.69502682933546
320,ok,,16,34,165.34167375996165,95.56482667113933,165.34167375996165,95.56482667113933,16.207169756288863,-39.0630311504388,0.5882352941176471,156.46261374737375
340,ok,,16,34,170.240643906168,96.4278684773008,170.240643906168,96.4278684773008,16.854624343137743,-53.37217014551034,0.5882352941176471,151.60519573201591
360,ok,,16,34,198.16021202729178,113.15698083882096,198.16021202729178,113.15698083882096,19.857548362568522,-93.96137411907156,0.5,144.05867009666073
380,ok,,16,34,222.4901512251191,130.64286685435894,222.4901512251191,130.64286685435894,24.315232294363813,-119.17817419508765,0.47058823529411764,136.81200101655725
400,ok,,16,34,228.40678009739602,137.40512881083004,228.40678009739602,137.40512881083004,28.85965609735693,-127.59353839207175,0.4117647058823529,142.63051175161505
420,ok,,16,34,288.32466865347305,192.64072264130505,288.32466865347305,192.64072264130505,56.54458103519223,-190.52779099109947,0.2647058823529412,150.4789399909983
440,ok,,16,34,302.27795003573374,209.75980874733543,302.27795003573374,209.75980874733543,135.86542165823292,-208.14057421337614,0.14705882352941177,153.3364555953732
460,ok,,16,30,333.8653035008611,245.80471992427127,333.8653035008611,245.80471992427127,162.092796928153,-245.05745899133944,0.13333333333333333,168.7242812191045
480,ok,,16,28,351.4571128368173,266.74437830438364,351.4571128368173,266.74437830438364,111.0506644670169,-266.74437830438364,0.10714285714285714,167.57178972210764
500,ok,,16,26,368.2176040395447,284.26769878826195,368.2176040395447,284.26769878826195,96.36634771873608,-284.26769878826195,0.11538461538461539,177.5768345360327
520,ok,,16,25,388.819960644238,311.1545623687834,388.819960644238,311.1545623687834,106.9303382444686,-311.1545623687834,0.08,179.4816485010554
540,ok,,16,24,409.8024625128008,336.3254733948847,409.8024625128008,336.3254733948847,84.2663226195192,-336.3254733948847,0.0,168.4214005056826
560,ok,,16,24,415.36106439728053,343.3902622103203,415.36106439728053,343.3902622103203,96.48372511960406,-343.3902622103203,0.0,179.90420487606312
580,ok,,16,24,426.1406671114563,357.0079433159555,426.1406671114563,357.0079433159555,119.30255279223235,-357.0079433159555,0.0,187.03468245183544
600,ok,,16,24,439.8328232870525,377.5610654656862,439.8328232870525,377.5610654656862,180.40269690557471,-377.5610654656862,0.0,191.2459407313577
