source,alpha
CALCE_CX2_16.pkl,0.067375325
CALCE_CX2_33.pkl,0.068297304
CALCE_CX2_34.pkl,0.09324388
CALCE_CX2_35.pkl,0.15166298
CALCE_CX2_36.pkl,0.0
CALCE_CX2_38.pkl,0.6194205
